,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,septiembre,-0.008565384615384886,0.049549999999999816,-0.040800000000000176,-0.004600000000000289,-0.0029737179487181998
ECMWF-SEAS5.1,octubre,-0.08362564102564124,0.007874999999999882,-0.024271794871795073,-0.059575000000000176,-0.0404163461538464
ECMWF-SEAS5.1,noviembre,-0.08440256410256439,0.08789999999999985,-0.03773846153846173,-0.0008250000000001775,-0.007952884615384848
Météo France-System 8,septiembre,-0.06479358974358995,-0.07325000000000025,0.005435897435897262,0.1553999999999998,0.040979166666666435
Météo France-System 8,octubre,-0.07394358974358997,0.009274999999999802,-0.033553846153846364,-0.14805000000000015,-0.040668910256410486
Météo France-System 8,noviembre,-0.12221025641025672,0.0016749999999998526,0.01082820512820494,0.020249999999999768,0.02781554487179463
Met Office-GloSea6.2,septiembre,-0.006540055926216862,0.08189174107142841,-0.008192700156986001,0.05572385204081621,-0.013818665988030047
Met Office-GloSea6.2,octubre,-0.13185177917320803,0.007812499999999732,0.010359432234432066,0.005859374999999852,0.005060648057299636
Met Office-GloSea6.2,noviembre,-0.03732809229461034,0.07031249999999985,0.07016736983254825,0.07946029974489788,0.12088729722658277
DWD-GCFS2.1,septiembre,-0.013112535612535807,-0.07307291666666683,0.01822293447293429,-0.04532986111111126,0.019204282407407187
DWD-GCFS2.1,octubre,-0.12406873219373246,-0.054253472222222356,0.014811253561253368,0.026718749999999774,0.007460492343304644
DWD-GCFS2.1,noviembre,-0.02975694444444468,0.15608506944444422,-0.0036805555555557523,0.009236111111110853,0.05345564013532744
CMCC-SPSv3.5,septiembre,-0.005000000000000219,-0.07242187500000034,-0.005641025641025775,-0.04287109375000026,-0.04475510817307717
CMCC-SPSv3.5,octubre,-0.014628405448718183,0.027622070312499785,-0.013257211538461698,-0.01266601562500023,-0.005654985476763033
CMCC-SPSv3.5,noviembre,0.011227463942307477,0.17008300781249983,-0.000562900641025817,-0.002177734375000212,-0.019433718950320738
NCEP-CFSv2,septiembre,-0.0357572115384617,-0.02541775173611131,0.0538361378205127,-0.04614257812500025,0.04028007311698697
NCEP-CFSv2,octubre,-0.07461382656695183,0.009616427951388654,0.03421863871082608,0.046142578124999896,0.01890107505341862
NCEP-CFSv2,noviembre,-0.09391276041666684,-0.010213216145833518,-0.03235454504985773,0.019816080729166474,0.010472311253561059
JMA-CPS3,septiembre,0.05651442307692287,0.27828125,-0.07118589743589758,-0.03468750000000023,-0.04683693910256433
JMA-CPS3,octubre,-0.06467948717948742,-0.17296875000000025,-0.15179487179487197,-0.030156250000000173,-0.06379006410256431
JMA-CPS3,noviembre,-0.2236778846153848,0.13124999999999984,-0.04575320512820534,0.030624999999999836,-0.03180889423076942
ECCC-GEM5-NEMO,septiembre,-0.016995192307692506,0.1504687499999998,-0.06391025641025651,-0.24593750000000023,-0.13145733173076943
ECCC-GEM5-NEMO,octubre,-0.058830128205128396,0.0690624999999998,-0.11951923076923097,-0.13828125000000027,-0.08763721955128223
ECCC-GEM5-NEMO,noviembre,0.05346153846153822,0.1746874999999998,-0.08650641025641045,0.01249999999999992,-0.09407752403846174
