,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.022050905834188377,0.12447704232617708,-0.019528387802846808,0.1849584823449345,0.23207916164278208,0.16558299680658686,0.24287088493816364,0.17564925015642166,0.23364381420633484,0.11703400287977368,0.09070294691125151,0.152657640335922
ECMWF-SEAS5.1,lead2,0.15709020446111113,0.10164280797397543,0.23050182589084425,0.14501382587433528,0.21739248536027114,0.1292030886079584,0.3069696105568373,0.28593064221209813,0.13981519341391738,-0.08638736583575356,0.024952463711231415,0.03410754271098891
ECMWF-SEAS5.1,lead1,0.24819659194067034,0.3625117030438919,0.12705998166577906,0.2461464277240737,0.2100854857816734,0.3029737282475454,0.3304806198429822,0.24468884452051995,0.06853664989968326,0.045242067077918884,0.02868890047068711,0.14429613033893504
Météo France-System 8,lead3,0.035330730018835896,0.038282597394020575,0.11593098937701493,0.1857957500251016,0.10885107317317747,0.1260626699156323,0.17558360780829632,0.17944441717749657,0.05077958511092369,-0.04200816574250161,0.09106897474878316,0.32006414283203216
Météo France-System 8,lead2,0.2158278666532901,0.01244344472010178,0.06285359764014967,0.12538858481779042,0.21798884953776634,0.19754959404520855,0.09214322815875717,0.28037924694159944,0.06933952459337173,0.3432876535744824,0.2944755602014911,0.0428720952190702
Météo France-System 8,lead1,0.11643362602574524,0.2347710453502498,0.08303531489626352,0.195939601124122,0.3022331546661913,0.39120351081961835,0.22428017439929795,0.17448008925896843,0.26165966387936795,0.3947322409844645,-0.0863274077656276,0.21198352020117445
Met Office-GloSea6.2,lead3,0.20875664150867096,0.16897515143690245,0.1816862121588752,-0.006441739173135325,0.06881494984377809,0.03992701911672217,0.2810967819093955,0.17926202739740957,0.2609006203971762,0.08334204638219941,0.05140767008635097,0.1337545630114913
Met Office-GloSea6.2,lead2,0.32377141153614253,0.0770201584707736,0.15065536397016027,-0.0557024694452014,0.02931943029857276,0.24115849786666999,0.29829807823414717,0.32264493863994465,0.31827167426046626,0.20060650967251314,0.0747208232194418,0.19184833437321386
Met Office-GloSea6.2,lead1,0.09058794935897999,0.2610437173984685,0.25203741847329536,0.18486879743682977,0.18787372941651184,0.21861030394816924,0.2603500237106267,0.27070247195971125,0.2728071319196602,0.09643472377966043,0.022835294679183455,0.45728025609743417
DWD-GCFS2.1,lead3,0.02439617871276551,0.06313277080278891,-0.016459203961183774,0.08089977413497264,0.186886301073755,0.02670143448602437,0.3234455941982855,0.17415662889102476,0.12195270325897746,0.2192798877814127,0.4148975967141506,0.22477346592552783
DWD-GCFS2.1,lead2,0.12172440535176225,0.0022606397155504974,-0.012035488616183221,0.280882958849106,0.15488725683147764,0.09154635702283129,0.2767763093145122,0.10765323802238586,0.17340217946359962,0.357564163329724,0.34837175295082806,0.2534117662882983
DWD-GCFS2.1,lead1,0.13103583145747047,0.2384159318856517,0.1808296095875044,0.2055405663507142,0.050405550358645974,0.09808549456894063,0.259696322200904,0.2269666270305844,0.12662586165032683,0.2196092210100008,0.28141853556425295,0.3142042034037273
CMCC-SPSv3.5,lead3,-0.04270289980896602,-0.023161744396061293,0.17280268085291337,0.031180043930253625,0.11333606720837638,0.12646128809528492,0.34940782025779216,0.17094854595621733,0.23439421242168476,0.3186914385054526,0.0683480131387057,0.052930028661150735
CMCC-SPSv3.5,lead2,-0.05709729200741765,0.049315914302268365,0.1484065082513631,0.12446190034739496,0.2003779687162454,0.1826217311934202,0.36709890111103344,0.1488775398283288,0.20989998789322656,-0.012802173041356748,0.07115279789545569,0.1588015249166624
CMCC-SPSv3.5,lead1,0.23305836912592115,0.30854088313395517,0.14015259452986667,0.2684018347584676,0.2495845947602452,0.06403284267428314,0.3096590900679326,0.06108733576810414,0.04254161414625096,0.13478435328037944,0.06759810768021589,0.12551051569540758
NCEP-CFSv2,lead3,0.07260144419657373,0.09730048191297365,0.07572180782108766,0.13910031181862378,0.23156041888764825,0.19946912828760038,0.05520745990126221,0.3253088645839701,0.015266415929678414,0.2522414280278093,0.13872213099049452,0.2861926401044626
NCEP-CFSv2,lead2,0.0936206125872603,0.06361066946008903,0.027869416372398887,0.19812707595252996,0.15448253465366887,0.16667249026092906,0.23733908250469504,0.3156063632899915,0.2819946561948129,0.14526341494337575,0.35855791444867835,0.2262834516905268
NCEP-CFSv2,lead1,0.3094077566119604,0.04095567321431528,0.1765169138700914,0.16506866459226763,0.13885315981541488,0.13101668288355686,0.20474278241075025,0.3355320122101868,0.23966933440405355,0.09748788783870402,0.2688595860524264,0.1921610547497728
JMA-CPS3,lead3,0.10855054000063197,0.07749813230282464,0.13109202629778646,-0.0676908646206594,0.21694764063569763,0.17262893193281129,0.23202973268561855,0.20291241317894726,0.16636438321238878,0.040805341895974435,-0.023075434960053126,0.08829972955140962
JMA-CPS3,lead2,0.06845839626073758,0.20193091786142708,0.22545720128501925,0.09870297946981935,0.1489945683181322,0.1359952610386938,0.1990046784854425,0.17280920278221817,0.2068505848392693,0.03584285836329795,0.07650795483032567,0.046899377088156266
JMA-CPS3,lead1,0.16040253096974577,0.06864864034493602,0.2171292758687366,0.28188574521095927,0.1942273521279127,0.22748517101068036,0.22619207695714338,0.19576652477485568,0.017493186510863658,0.25860127309337805,-0.035198816115191114,0.11890915281110162
ECCC-GEM5-NEMO,lead3,0.08405803321779023,0.2828990976648959,-0.009453974014256775,0.09049674829815144,0.1919203516114422,-0.07507825933349258,0.3289405640390611,0.18118713110039544,0.20871946328812607,0.08508015999853603,0.22113919329803172,0.06101071237008243
ECCC-GEM5-NEMO,lead2,0.2205916049360587,0.08019716592040223,0.1496786402200724,0.2921252741023943,0.07619111855208653,0.0906486615266043,0.3479612322939332,0.241733262374414,0.03355206095612526,0.07483151877997633,0.0013337960193730263,0.05208519961975555
ECCC-GEM5-NEMO,lead1,0.12406333814643247,0.3325533923251235,0.3554004260464039,0.1384575440665355,0.20709735652961087,0.15005780762253265,0.43809337070228616,0.08036109915895882,-0.055550335795881554,-0.11209082636267599,0.10991690173079581,0.14709159955278872
