,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.02734716769136925,0.008267897778446436,0.04490748040300651,-0.15258650925966455,0.15192457153339,0.06071074869762301,0.08973664189989086,0.16950698114326201,0.2364054931487,0.09314704306824237,0.08550942353925202,0.03252664092587811
ECMWF-SEAS5.1,lead2,0.08978252288312959,0.09435472521207584,-0.020324973465429372,0.16125663179203087,0.1826474690565063,0.1404110738488942,0.110562924601502,0.088237229634973,0.018237702659375528,-0.03690874612569991,-0.12299844557291234,-0.016309508695357564
ECMWF-SEAS5.1,lead1,0.20863033987585214,0.08245747711090785,0.1035584972122438,0.27255808901231915,0.18977893598748286,0.20427054958622373,0.029255970546182987,0.16058198899978526,0.11828912797202135,0.04315652549774005,0.04193746456439835,0.12065355313666645
Météo France-System 8,lead3,0.06459744304362076,0.05383552419682598,-0.013887304236304163,0.2253190900362561,0.07867131838154873,-0.009143727764054513,-0.14060469516918428,0.01310108650197213,0.08197029713406441,0.28047774037206524,0.19503773341545771,0.15067505821858546
Météo France-System 8,lead2,0.10851569432774855,0.11992550791253455,0.032812365982843754,0.0456744452619632,0.0914842199082764,-0.0416598962824105,0.090353422393392,0.23545322007947023,0.29737779204075643,0.3886530344631766,0.248155169491772,0.09428560039182773
Météo France-System 8,lead1,0.13306079318836372,0.13795297033834297,-0.061980219186965786,0.1076080269051836,0.21776944794372846,0.3119850287668714,0.19047830159485798,0.20457055779862757,0.25552178093788813,0.19340348776683988,-0.11193369967045157,0.13014666425272875
Met Office-GloSea6.2,lead3,0.18253426575553736,0.05692529926361238,-0.20058032797112157,0.07183833357124034,0.1628875372457892,0.20966693811332796,0.160296518245974,0.02710591938152191,0.15925979621164588,0.06502236820213662,-0.1152193897582342,0.03243615120320569
Met Office-GloSea6.2,lead2,0.41303174232490053,-0.10424355800876416,0.008904773438962997,0.025403970470278224,0.07583052401620834,0.05403481423313052,0.17836420045905432,0.03981705702438822,0.22701846045952553,0.1248530937919893,0.15061775215199472,0.17987097793880263
Met Office-GloSea6.2,lead1,0.05614388387873086,0.17609535317021502,0.12544165473458208,0.12418639707484419,-0.018540933085146344,0.17503089157679116,0.18041341068008257,0.21770690518176927,0.23271670427990773,0.1859277988816794,0.08995191243034235,0.4154606838659314
DWD-GCFS2.1,lead3,-0.015018188454930668,0.07239046669073528,-0.07895764329335986,-0.0397035672045544,0.2665518153197525,0.12445590815617459,0.0709303904144356,0.09052812592162149,-0.04878899997212304,0.1981509788647636,0.2911272648037579,0.259053906886261
DWD-GCFS2.1,lead2,0.12728267289261494,0.0020404849040196594,-0.11535252937362261,0.2700739721898432,0.19399506877082012,0.10813668178547942,0.23179552639180565,-0.019970993148428953,0.17845140410998941,0.28813410466665346,0.21498511697727105,0.11450723208106593
