,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,January,0.06116523180799924,0.10594426664021946,-0.05801988530747627,-0.2026136437055516,0.18132631233821597
ECMWF-SEAS5.1,February,0.000684735263602838,0.12155960198113157,0.17303604607952433,0.3942784509126687,0.14384341248683838
ECMWF-SEAS5.1,March,-0.0700295630629699,0.08434866126794065,0.2459830207344297,0.44613775679862405,0.24411189685600965
Météo France-System 8,January,0.25592917843124685,0.2739534591463054,0.1868712803485984,0.2576129188314899,0.1824337823107941
Météo France-System 8,February,-0.008538171871661941,0.3367087211804159,0.04066889632107022,0.07837308715984327,0.12353627281479952
Météo France-System 8,March,0.16875357623728054,0.438739834035452,0.12659274567543807,0.07616575505882908,0.1911103263864692
Met Office-GloSea6.2,January,0.07820328431069307,0.2831918681006282,0.07461764324781028,0.04920541316718676,-0.013235373286698675
Met Office-GloSea6.2,February,0.17814769991687354,0.15040136355115974,0.026480862133036045,0.06604858941082549,-0.05753080644016427
Met Office-GloSea6.2,March,0.09778645929613461,0.2685187080538733,0.10847357242137305,0.29200290973911813,0.18147774889191753
DWD-GCFS2.1,January,0.08463870260960313,0.22699734711860117,-0.027353982627344918,-0.08195875939384265,0.07554988914356894
DWD-GCFS2.1,February,-0.01548849137183501,0.2658387620097302,0.21946488294314379,0.26728638276821254,0.2747018656456163
DWD-GCFS2.1,March,0.11274085506129625,0.3451516405003685,0.1766529409300107,0.2799755000450493,0.19850863689051293
CMCC-SPSv3.5,January,0.07909784413810837,0.34297804261952575,0.03402047635861671,-0.0038740618002079644,0.029709330858419113
CMCC-SPSv3.5,February,0.0643079180126347,0.17536499772298164,0.20764028242289118,0.3224300654120341,0.12680029829941447
CMCC-SPSv3.5,March,0.10435691812484886,0.4304064691858552,0.2377235597037603,0.359904895736483,0.266935948387199
NCEP-CFSv2,January,0.09870879324351858,0.3067804285582066,-0.003199517704199804,0.06688520831463414,0.1399141316176589
NCEP-CFSv2,February,0.037641215789157856,0.33413602891938926,0.08684503901895206,0.157065524674874,0.19145459605505266
NCEP-CFSv2,March,-0.10784896049061322,0.40152853088523033,0.16967428750114624,0.282618544484534,0.15635357537056288
JMA-CPS3,January,-0.08997010722842676,0.14065537281379406,-0.037703289493805234,-0.07681353245310701,-0.0645904258562347
JMA-CPS3,February,0.08283226879074071,0.3668913382278951,0.005841694537346714,0.0541648623605783,0.09390370198714974
JMA-CPS3,March,0.08029529647653856,0.3111304292673483,0.11460105926161182,-0.06787078883640939,0.2791304431667539
ECCC-GEM5-NEMO,January,0.08656744821747962,0.001159373015459744,0.10079538401496105,-0.029092099187958614,0.08831181110954299
ECCC-GEM5-NEMO,February,0.16719133931472438,0.22996872404838561,0.21646228167967294,0.11104841607137594,0.2932981075453811
ECCC-GEM5-NEMO,March,0.2059617698838565,0.3257313033709008,0.13419557142359123,0.2839600460453878,0.13455510284262417
