,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,September,0.18522482348569302,0.27760869565217394,0.033429951690821254,0.04760869565217391,0.15009601621504046
ECMWF-SEAS5.1,October,0.08448903753251578,0.2832608695652174,0.04046512630527049,0.0010497397544451507,0.03346815172511063
ECMWF-SEAS5.1,November,0.021806020066889628,0.37014492753623185,0.07924191750278708,0.04598069550092463,0.13818639183717835
Météo France-System 8,September,0.05432924563359345,0.07094202898550726,0.18314381270903013,0.6257971014492753,0.3136029398633007
Météo France-System 8,October,-0.07459680416202158,0.15847826086956524,0.06210697088426532,-0.16706409068488237,0.04383784496721906
Météo France-System 8,November,-0.00034931252322557117,0.2842028985507246,0.17217391304347826,0.3567898676791405,0.20233235055119914
Met Office-GloSea6.2,September,0.07248606465997769,0.3314492753623189,0.05178743961352657,0.3580434782608695,0.12733026219470608
Met Office-GloSea6.2,October,-0.10040133779264213,0.24268115942028987,0.1593314139929094,0.13366365134823696,0.19300534474408426
Met Office-GloSea6.2,November,0.20986250464511333,0.3226086956521739,0.3420884429580082,0.36660966162582315,0.4487796527631156
DWD-GCFS2.1,September,0.1163805276848755,0.1351449275362319,0.22789297658862878,0.15659420289855072,0.2270794634493609
DWD-GCFS2.1,October,-0.014009661835748796,0.1834057971014493,0.12196607621756021,0.24116545565432532,0.24982633847045008
DWD-GCFS2.1,November,0.20458565589000374,0.5288405797101449,0.14624303232998886,0.27338121835583973,0.31021823194006987
CMCC-SPSv3.5,September,0.06633221850613155,0.0858695652173913,0.09459680416202156,0.2088405797101449,0.050224979248764845
CMCC-SPSv3.5,October,0.13955406911928653,0.24637681159420288,0.04525489161698914,0.1069249463830123,0.15127825786542343
CMCC-SPSv3.5,November,0.18236343366778152,0.5433333333333333,0.11623188405797105,0.24128307828815043,0.127496404721671
NCEP-CFSv2,September,0.05417316982534374,0.15405797101449273,0.26405797101449274,0.193768115942029,0.289253855853182
NCEP-CFSv2,October,0.04937198067632849,0.2182608695652174,0.19512133619905725,0.3039912116900797,0.22201867580016496
NCEP-CFSv2,November,0.018654775176514305,0.26181159420289857,0.06187290969899665,0.3646130078650201,0.18701644647910762
JMA-CPS3,September,0.31742103307320696,0.534927536231884,0.16661464139725013,0.2377536231884058,0.08488221210792843
JMA-CPS3,October,0.17389074693422524,-0.006884057971014493,-0.06677506604577142,0.28783279992065836,0.0410221536299065
JMA-CPS3,November,-0.13825375901138226,0.4031884057971016,0.02518766257896693,0.2963892290020425,0.10446316576136913
ECCC-GEM5-NEMO,September,0.16057227796358237,0.41804347826086957,0.15184689706428836,-0.2565217391304348,0.06367719435113957
ECCC-GEM5-NEMO,October,0.16975845410628013,0.4632608695652174,0.038350387066182046,0.02155834133058949,0.052396017140322555
ECCC-GEM5-NEMO,November,0.3756893348197696,0.5559420289855073,0.061196581196581196,0.313602596467527,0.14571194834468676
