,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,June,0.4863088530574222,0.34011428190988857,0.2364054931487,0.14702898550724638,0.23364381420633484
ECMWF-SEAS5.1,July,0.2696188047378609,0.31884612657253014,0.018237702659375528,-0.06891304347826087,0.13981519341391738
ECMWF-SEAS5.1,August,0.2479911945804442,0.4031230647045483,0.11828912797202135,0.10239130434782608,0.06853664989968326
Météo France-System 8,June,0.36314130133631123,0.4997560916998341,0.08197029713406441,-0.07942028985507245,0.05077958511092369
Météo France-System 8,July,0.35142617573829493,0.4171823594021103,0.29737779204075643,-0.27898550724637683,0.06933952459337173
Météo France-System 8,August,0.13571498905748494,0.5000465770975691,0.25552178093788813,0.22456521739130433,0.26165966387936795
Met Office-GloSea6.2,June,0.4087387613810595,0.5066023025782836,0.15925979621164588,0.03855072463768116,0.2609006203971762
Met Office-GloSea6.2,July,0.3778094069378159,0.5871837776339701,0.22701846045952553,-0.020797101449275362,0.31827167426046626
Met Office-GloSea6.2,August,0.3554616534247366,0.4805526416144974,0.23271670427990773,0.09195652173913042,0.2728071319196602
DWD-GCFS2.1,June,0.3122004696512449,0.24239603178735894,-0.04878899997212304,0.03615942028985508,0.12195270325897746
DWD-GCFS2.1,July,0.14933324080854757,0.2040979769711111,0.17845140410998941,-0.0768840579710145,0.17340217946359962
DWD-GCFS2.1,August,0.13829695179585028,0.48874014919808767,0.20248217189336482,-0.05492753623188406,0.12662586165032683
CMCC-SPSv3.5,June,0.2139479673334837,0.23913431128302562,0.1220886331455089,-0.03521739130434783,0.23439421242168476
CMCC-SPSv3.5,July,0.174952394305702,0.3608760418095513,0.18579393875929442,0.10731884057971014,0.20989998789322656
CMCC-SPSv3.5,August,0.060756962720132854,0.4520382670468625,0.21452931080465226,0.1577536231884058,0.04254161414625096
NCEP-CFSv2,June,0.06772030148760527,0.4291753572763412,0.033993666996055175,-0.25079710144927536,0.015266415929678414
NCEP-CFSv2,July,0.17498036608802733,0.4197920163003226,0.07031010400791166,0.12021739130434782,0.2819946561948129
NCEP-CFSv2,August,0.008103046766330065,0.3917472301145155,-0.03208601529185955,-0.058043478260869565,0.23966933440405355
JMA-CPS3,June,0.2634766588685644,0.28732287466144485,0.04557861304853227,0.02405797101449279,0.16636438321238878
JMA-CPS3,July,0.020460394269213478,0.2526495683060399,-0.06672540694762491,0.05239130434782607,0.2068505848392693
JMA-CPS3,August,0.22035739534436005,0.3930508057921455,0.16011427312779988,0.20260869565217396,0.017493186510863658
ECCC-GEM5-NEMO,June,-0.15527468178560042,0.002535869447027115,0.2880413420413801,-0.18586956521739129,0.20871946328812607
ECCC-GEM5-NEMO,July,0.10966609550857791,0.13014653486567304,-0.02122577166701727,-0.06166666666666667,0.03355206095612526
ECCC-GEM5-NEMO,August,0.03552224480736599,0.22503987989156418,-0.2128566755613507,-0.15253623188405796,-0.055550335795881554
