,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,March,0.5797434791488041,0.5823515192121558,0.5673815395953146,0.4453125,0.3896484375,0.4410807291666667,0.5446874068127452,0.5099689108159118,0.5581606133093281,0.5885416666666666,0.54296875,0.521484375,0.5686823202578098,0.4505574670603161,0.5983448296191937
ECMWF-SEAS5.1,April,0.5791622370536194,0.5409128161525175,0.6268584921508594,0.5016276041666666,0.4534505208333333,0.5384114583333334,0.532213676140818,0.4711268492380173,0.5728195784021881,0.6168619791666666,0.3818359375,0.6158854166666666,0.5592821557390518,0.5086502329809032,0.58731150478776
ECMWF-SEAS5.1,May,0.6180849495643732,0.5154392374394854,0.5963462911259128,0.5279947916666666,0.4964192708333333,0.4716796875,0.6017000992396242,0.5211574406853235,0.6048241681992305,0.5205078125,0.4635416666666667,0.5966796875,0.600211635969521,0.5140475905770356,0.6686414569159994
Météo France-System 8,March,0.6102680838560135,0.5499841270892467,0.5478777762335207,0.71875,0.61328125,0.6982421875,0.47727434987397765,0.49282166020633206,0.5191945983959203,0.380859375,0.4664713541666667,0.46484375,0.5738481005934484,0.5392873407816134,0.5235790426964093
Météo France-System 8,April,0.5906452198821169,0.5184050385444158,0.644507472060107,0.7083333333333334,0.498046875,0.7294921875,0.4478620284224555,0.5209535264919785,0.49585704672134095,0.5374348958333334,0.5478515625,0.5960286458333334,0.540805197217154,0.47644404121508105,0.6186932852108349
Météo France-System 8,May,0.6266256932441177,0.516520285409063,0.6750855721697296,0.771484375,0.509765625,0.65234375,0.6506907273540113,0.5105903639191738,0.6027667764408824,0.6064453125,0.4544270833333333,0.6507161458333334,0.6474436596168885,0.5032682648378027,0.6710900391139782
Met Office-GloSea6.2,March,0.5631398167749422,0.4339343280908106,0.561831010816473,0.5696614583333334,0.5087890625,0.5660807291666666,0.5716085130577422,0.4936369995844443,0.5825877735309961,0.5315755208333334,0.4527994791666667,0.5289713541666666,0.5134352232401435,0.5017540705576641,0.5224493597752805
Met Office-GloSea6.2,April,0.5471596968944175,0.4896130042240959,0.6411194304901191,0.5126953125,0.4404296875,0.5602213541666666,0.5137139613513168,0.511789609654603,0.5370386050348126,0.4873046875,0.5266927083333334,0.5625,0.5920771628915554,0.47613240376002264,0.6467847600604587
Met Office-GloSea6.2,May,0.5313240200086738,0.5152545169754364,0.564203105019733,0.5621744791666666,0.5413411458333334,0.630859375,0.6061025220937512,0.5144827596996053,0.5714554527187051,0.5126953125,0.4716796875,0.5556640625,0.5784174574733004,0.5001206585659482,0.6144240425375
DWD-GCFS2.1,March,0.4772154152659446,0.5087256109372339,0.571075557919047,0.3587239583333333,0.4807942708333333,0.4264322916666667,0.5510127143868457,0.5129524684539971,0.5634327752503079,0.474609375,0.5758463541666666,0.3736979166666667,0.5236352600835278,0.5066457762539714,0.5197604223308417
DWD-GCFS2.1,April,0.5027664558039776,0.5150663827382093,0.4926086122948052,0.4544270833333333,0.3610026041666667,0.4944661458333333,0.5387647432955368,0.5043771417450673,0.5645994967228798,0.4449869791666667,0.3919270833333333,0.4521484375,0.5172274474257758,0.48891432356271436,0.5431583934092735
