,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.056087927922038636,-0.03983002680225519,-0.18111964042630516,-0.052380767747754305,0.01443797474004413,-0.014572805772306578,-0.009458743244848782,0.023159156053826863,0.1122705066452915,-0.017043023547967617,0.09129503049357264,-0.028592606145734938
ECMWF-SEAS5.1,lead2,-0.11706496827818401,-0.041220126673422175,-0.1652648886393154,-0.12332141959718727,0.01277287607463229,0.006331314751465755,0.019591750171227745,0.0889926062258962,-0.015954576988147326,0.02033921888500082,0.05441274549990822,-0.09065891550221301
ECMWF-SEAS5.1,lead1,-0.007094074897751705,-0.10659980549204436,-0.22282993013403782,-0.06269038412108897,0.11121998022228385,0.002829075534229118,0.11608372576968896,-0.012040548566275407,0.028463223759724557,0.0540481591153854,0.023348345271160073,-0.1351709931152671
Météo France-System 8,lead3,-0.1528550772902465,-0.1341525163468646,-0.07303514958821208,0.010440664790581745,0.005950337960011961,0.013380131004720285,0.08180213011009946,0.005494498838330289,0.06682556574546977,-0.01398441591620002,-0.05739119882124564,-0.08096408415651084
Météo France-System 8,lead2,-0.17939935904533616,-0.14613441925928053,-0.09864666491973569,-0.09445794563196726,-0.03372414358447301,0.04383621577397634,0.09226846281696602,0.06027894223879139,0.03253034457051009,-0.01393177328322465,0.07738191395310436,-0.06292140291721918
Météo France-System 8,lead1,-0.1976523344678851,-0.165836072955111,-0.1281889399117296,-0.04904312605840598,0.029439399108737482,0.0736839302959026,0.11258355813108098,0.008478893612077688,-0.0269842484208027,0.11149839791648716,-0.05809308813343497,-0.14750800483993293
Met Office-GloSea6.2,lead3,-0.17263799755755757,-0.09036472987822018,-0.09321156426251165,-0.06681292005905384,0.030477151525536945,-0.049211901501126955,0.0539991387137713,0.024615261056648085,0.05478098681017794,-0.01777099606741055,0.021931214185131442,-0.019557312798064986
Met Office-GloSea6.2,lead2,-0.08142365743085085,-0.08530651745028152,-0.1278865543401566,-0.05103646357181177,-0.06297411368938222,-0.004550551867626365,0.017639003955300225,0.06164505935075905,0.04795842729099218,0.02427444148376414,-0.012542663290910857,-0.15206780500930822
Met Office-GloSea6.2,lead1,-0.05123320560930401,-0.14401503678593175,-0.12351229218583455,-0.12019056061414683,0.008551280587061921,-0.03248818463266197,0.04867194782131628,0.0529879873874795,0.047556510376299786,0.02640650754411624,-0.03044597681750856,-0.05902607345443127
DWD-GCFS2.1,lead3,-0.1426755363041821,-0.058040299360565005,-0.1276441708379758,-0.06895454558460203,-0.04671066244419981,-0.12441037518517321,-0.0893233780711373,0.031612741716053556,0.04583966546542212,-0.07093265979183974,0.04315560144962645,-0.03003539472468961
