,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,January,-0.06211904065516249,-0.03377500000000035,-0.04231794871794896,-0.07320000000000021,0.01612909983909459
ECMWF-SEAS5.1,February,-0.14830806278638994,-0.05825000000000031,0.007897435897435627,0.0772874999999998,0.0029982170663342667
ECMWF-SEAS5.1,March,-0.10233507848298741,-0.0582000000000003,0.024328205128204855,0.10612499999999976,0.041668663708086584
Météo France-System 8,January,0.018843229014331567,0.00779999999999965,0.008271794871794611,0.04659999999999987,-0.012315307406830903
Météo France-System 8,February,-0.07684780150141386,0.043199999999999676,-0.027435897435897718,0.003274999999999769,-0.00880053072770705
Météo France-System 8,March,-0.04244516915277384,0.08441249999999967,-0.012687179487179758,0.011074999999999788,0.018901030312467364
Met Office-GloSea6.2,January,-0.059704915620094445,0.01518211451247157,-0.043589561893133455,-0.03438474348072578,-0.07276462067198698
Met Office-GloSea6.2,February,-0.031019286324869347,0.010423309948979248,-0.02184924450549476,-0.007932079081632876,-0.1051961773266709
Met Office-GloSea6.2,March,-0.10975355633808087,0.024284518494897673,-0.004434646454736,0.024135044642856984,0.008935306260321227
DWD-GCFS2.1,January,-0.04901714141020237,0.014635416666666188,-0.04119836182336208,-0.12335069444444462,-0.03383219764308473
DWD-GCFS2.1,February,-0.12134656684324004,-0.02083333333333366,0.010534188034187772,0.0012499999999998068,0.04727899817395624
DWD-GCFS2.1,March,-0.07491765108922921,-0.00720486111111146,-0.0054291310541313385,-0.029496527777777976,0.028195891654266985
CMCC-SPSv3.5,January,-0.014629888810690408,0.05061035156249962,-0.0068589743589745995,-0.025673828125000187,-0.026019969501810358
CMCC-SPSv3.5,February,-0.05201655919433082,-0.0154199218750004,0.012657251602563882,-0.012500000000000086,-0.003715627696622457
CMCC-SPSv3.5,March,-0.005033723158574751,0.1059179687499997,0.028204126602563866,0.05734374999999977,0.05749840635705372
NCEP-CFSv2,January,-0.04868320468177049,-0.0090381855867351,-0.03230474882260619,-0.015385841836734767,-0.02698325831617309
NCEP-CFSv2,February,-0.05165503927534598,-0.05050998263888919,-0.03934350516381792,0.0025499131944442346,-0.06869019417798143
NCEP-CFSv2,March,-0.09775922083698955,0.051738281249999775,0.0035817307692305018,0.014726562499999827,-0.0604579462767961
JMA-CPS3,January,-0.2017551732962857,-0.17101562500000025,-0.15466346153846186,-0.10968750000000027,-0.176626055129503
JMA-CPS3,February,-0.12116344325826281,0.09203124999999975,-0.0650160256410259,-0.08984375000000026,-0.07884781237023797
JMA-CPS3,March,-0.09597262844886432,-0.03593750000000031,-0.04612179487179514,-0.17796875000000031,0.017292112724488586
ECCC-GEM5-NEMO,January,-0.11689687530467016,-0.08203125000000029,-0.05823717948717972,-0.12296875000000022,-0.05795537232040918
ECCC-GEM5-NEMO,February,-0.08494116822657699,-0.027656250000000288,-0.014951923076923255,-0.11640625000000022,0.03830764445785306
ECCC-GEM5-NEMO,March,-0.06320116749536915,0.01921874999999973,-0.04921474358974386,-0.11140625000000016,-0.07012612893179711
