,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,September,-0.028592606145734938,0.049549999999999816,-0.0452225251111093,-0.004600000000000289,-0.002388062083587376
ECMWF-SEAS5.1,October,-0.09065891550221301,0.007874999999999882,-0.04494713354772161,-0.059575000000000176,-0.04018074664125395
ECMWF-SEAS5.1,November,-0.1351709931152671,0.08789999999999985,-0.026174310305866134,-0.0008250000000001775,-0.005867913430645632
Météo France-System 8,September,-0.08096408415651084,-0.07325000000000025,-0.002764185766356084,0.1553999999999998,0.0422043392539405
Météo France-System 8,October,-0.06292140291721918,0.009274999999999802,-0.03481345547837448,-0.14805000000000015,-0.04030199165542801
Météo France-System 8,November,-0.14750800483993293,0.0016749999999998526,-0.011311738817494633,0.020249999999999768,0.032122405765110655
Met Office-GloSea6.2,September,-0.019557312798064986,0.08189174107142841,-0.024862741938660574,0.05572385204081621,-0.011966719006823215
Met Office-GloSea6.2,October,-0.15206780500930822,0.007812499999999732,0.025308562490188143,0.005859374999999852,0.005159963561532231
Met Office-GloSea6.2,November,-0.05902607345443127,0.07031249999999985,0.08625025727569938,0.07946029974489788,0.1240404265534118
DWD-GCFS2.1,September,-0.03003539472468961,-0.07307291666666683,0.025952730693774777,-0.04532986111111126,0.01860495073313314
DWD-GCFS2.1,October,-0.12101801898736411,-0.054253472222222356,0.018207885271190785,0.026718749999999774,0.008062093444410055
DWD-GCFS2.1,November,-0.04588968856629183,0.15608506944444422,0.00161970534844055,0.009236111111110853,0.05562381498109298
CMCC-SPSv3.5,September,-0.027722698079898682,-0.07242187500000034,-0.007069587504435564,-0.04287109375000026,-0.04361736181011977
CMCC-SPSv3.5,October,-0.015288028806272278,0.027622070312499785,-0.011936028423440586,-0.01266601562500023,-0.003810910356956836
CMCC-SPSv3.5,November,-0.008729735004526602,0.17008300781249983,0.019444567579265343,-0.002177734375000212,-0.020380386558123333
NCEP-CFSv2,September,-0.0432814188661633,-0.02541775173611131,0.057797322285431975,-0.04614257812500025,0.03958803180433998
NCEP-CFSv2,October,-0.09757090782015702,0.009616427951388654,0.06038046312486509,0.046142578124999896,0.02119188126996431
NCEP-CFSv2,November,-0.11594540008309899,-0.010213216145833518,-0.03374191690049769,0.019816080729166474,0.011753381828854137
JMA-CPS3,September,0.07269120985357472,0.27828125,-0.12029280937787193,-0.03468750000000023,-0.04384535317674208
JMA-CPS3,October,-0.06619359320222708,-0.17296875000000025,-0.18156603882082972,-0.030156250000000173,-0.06183465901768793
JMA-CPS3,November,-0.21634443275512877,0.13124999999999984,-0.04086021816584048,0.030624999999999836,-0.02458989709279144
ECCC-GEM5-NEMO,September,-0.03313828742525457,0.1504687499999998,-0.08201816041134338,-0.24593750000000023,-0.13482784131718392
ECCC-GEM5-NEMO,October,-0.07003195024323385,0.0690624999999998,-0.09702518085249967,-0.13828125000000027,-0.08830772750473832
ECCC-GEM5-NEMO,November,-0.0044314104959652725,0.1746874999999998,-0.0721304870847114,0.01249999999999992,-0.09240980975220105
