,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,June,0.1122705066452915,0.10166249999999977,0.026916306987564365,-0.04132500000000005,-0.00017204532048651516
ECMWF-SEAS5.1,July,-0.015954576988147326,0.11597499999999983,-0.03930503144019988,-0.07417500000000012,-0.022586186425278345
ECMWF-SEAS5.1,August,0.028463223759724557,0.05642499999999978,-0.02066862150911587,-0.0424375000000001,-0.03803267738409264
Météo France-System 8,June,0.06682556574546977,0.18362499999999982,0.00014732176387091182,-0.0968500000000001,-0.045047520582718575
Météo France-System 8,July,0.03253034457051009,0.11261249999999982,0.048337993057952014,-0.19117500000000018,-0.021316037505328487
Météo France-System 8,August,-0.0269842484208027,0.18198749999999983,0.020026763729839567,0.044874999999999866,0.05447489101127934
Met Office-GloSea6.2,June,0.05478098681017794,0.16374362244897941,-0.00568681181438084,-0.04898756377551036,0.040400678192811505
Met Office-GloSea6.2,July,0.04795842729099218,0.19343909438775506,0.03516616077861197,-0.04661591198979603,0.055711200559632024
Met Office-GloSea6.2,August,0.047556510376299786,0.16454081632653048,0.021295670933339533,-0.03995934311224494,0.029461870106039713
DWD-GCFS2.1,June,0.04583966546542212,-0.011111111111111285,-0.04018345865852928,-0.044253472222222395,-0.022406368948318534
DWD-GCFS2.1,July,-0.042215844062659144,-0.030937500000000156,0.021514583278635153,-0.05427083333333351,0.009467587796056371
DWD-GCFS2.1,August,0.0030762556748156374,0.14223090277777758,0.007684112625794296,-0.06086805555555566,-0.01202887002619675
CMCC-SPSv3.5,June,0.03230303819244195,-0.008061523437500264,-0.009649328169479176,-0.07424804687500008,0.013478995758163395
CMCC-SPSv3.5,July,0.005240461003596819,0.07579589843749977,0.04339679323583123,-0.0523535156250001,0.03894977810288242
CMCC-SPSv3.5,August,-0.026588817472942228,0.15890624999999983,0.023587379400465996,-0.020029296875000047,-0.03943442280668063
NCEP-CFSv2,June,-0.05530808766947338,0.10654025607638869,-0.02413252289701443,-0.14271375868055566,-0.07060323702883607
NCEP-CFSv2,July,0.025769031647232446,0.11100260416666645,-0.038375246076471206,-0.053873697916666706,0.05475286188126397
NCEP-CFSv2,August,-0.06964941770773211,0.08090549045138873,-0.054245887549614465,-0.12643771701388898,-0.0015936077327517078
JMA-CPS3,June,-0.010039329506479207,-0.03656250000000028,-0.09821833764003543,-0.08687500000000008,-0.016183556615369382
JMA-CPS3,July,-0.14053092737684614,0.07859374999999989,-0.12439152170266891,-0.13468750000000018,-0.03538915761699439
JMA-CPS3,August,-0.04980530420013311,0.11054687499999984,-0.0017069514914251065,-0.010625000000000004,-0.11138523218063011
ECCC-GEM5-NEMO,June,-0.27924505040415754,-0.2035937500000001,-0.006295052414445647,-0.2926562500000002,-0.0353589836319189
ECCC-GEM5-NEMO,July,-0.09008111879303166,-0.13640625000000037,-0.10848854982450036,-0.1751562500000002,-0.09516651708066406
ECCC-GEM5-NEMO,August,-0.16970612546680403,-0.05281250000000037,-0.19308700313865787,-0.22328125000000018,-0.14943739255039254
