,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.0341516211938357,0.0715607917892058,-0.19506058650018293,0.10314633260587673,0.2739101675287761,0.1678776939416499,0.10159343756864336,0.24389187428264344,0.4863088530574222,0.12610985162901933,0.3368733396884553,0.1426942461495105
ECMWF-SEAS5.1,lead2,-0.17310305288779687,0.07989273938948346,-0.21133914571545287,0.10954129262161742,0.21624066160928074,0.18229426196435497,0.23287069725947795,0.40049380706076027,0.2696188047378609,0.12391938443647332,0.25394810803515677,0.06417123682177617
ECMWF-SEAS5.1,lead1,0.19484461586124163,-0.02702827930027013,-0.22404048884505728,0.040418114568173576,0.39144449116665697,0.2153863790868876,0.4785193993266376,0.2583040805551527,0.2479911945804442,0.3769255025028924,0.26448118669027426,-0.05500281011300499
Météo France-System 8,lead3,-0.21907110892925952,-0.044332447889982404,-0.015002959782117993,0.30019300653841136,0.18440520154216622,0.15695888844862496,0.44561435498182544,0.3109915678278259,0.36314130133631123,0.11660163165441054,0.039874767915168516,0.008058160603529506
Météo France-System 8,lead2,-0.22476981762980672,-0.13704315920892757,-0.013789424278909243,-0.05680829652631568,0.22581808196816525,0.2973464729424197,0.39819544991575573,0.3882916952807466,0.35142617573829493,0.11293825590553942,0.4222448468579058,-0.10920308691210105
Météo France-System 8,lead1,-0.17902798948414092,-0.1748682716293199,-0.21029568255328662,0.19027957356836764,0.29163956624399656,0.3238178052909897,0.47078165572372144,0.31073064385011734,0.13571498905748494,0.45941496097626056,0.06038442849573898,-0.09601960315730389
Met Office-GloSea6.2,lead3,-0.2429163257031948,-0.03087801457931004,-0.13462171886943494,0.08689127724765372,0.29406319122071817,0.1823954048835629,0.24960076830294511,0.1940738135541038,0.4087387613810595,0.21756925892129733,0.14470350547607644,0.030354982266583324
Met Office-GloSea6.2,lead2,0.009176591908758558,-0.061615646595362644,-0.1879577798715026,0.15019733112148567,0.15093181198326105,0.23224664500359676,0.23958301187797673,0.30447062644907,0.3778094069378159,0.26466812224478964,-0.014085016909208827,-0.15817191275620324
Met Office-GloSea6.2,lead1,-0.010744263300844315,-0.3489320051220836,-0.07049024985793713,0.08300494748473061,0.29025042682633573,0.1282846395993995,0.3270786915880818,0.34544226844486375,0.3554616534247366,0.21314581829852802,0.10015881006578126,0.17033831757809248
DWD-GCFS2.1,lead3,-0.16527653937808376,-0.038434046919956125,0.0063563393977688985,0.0584468546052865,0.1732897592667055,0.06148552206470332,0.12087817515941437,0.22485223335730384,0.3122004696512449,0.01999554122499286,0.14705300124301932,0.08136168808975948
DWD-GCFS2.1,lead2,0.07716231878565943,0.001575342402809619,-0.10258962456183922,0.024852296358654533,0.13180167076633262,0.02654236932179666,0.3047861809954428,0.2226573722730278,0.14933324080854757,0.13981474843551747,0.17322200569219953,-0.018679108383803003
DWD-GCFS2.1,lead1,-0.16864692864632702,0.14676378934669618,-0.29530798707558015,0.0991119470995179,0.1705688799610072,0.12175082041152842,0.2330703011915481,0.18143968710650957,0.13829695179585028,0.13106967905289904,0.021050192613688505,0.13592461028611605
CMCC-SPSv3.5,lead3,0.10698023018575727,-0.240319541580559,-0.17179738599034303,0.08092314660273262,0.2296721783625474,0.24797308401494425,0.3040883337111781,0.22100420872831086,0.2139479673334837,0.2576898118854879,0.16846243484438236,0.026257155825200655
