,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,September,0.1426942461495105,0.27760869565217394,0.03252664092587811,0.04760869565217391,0.152657640335922
ECMWF-SEAS5.1,October,0.06417123682177617,0.2832608695652174,-0.016309508695357564,0.0010497397544451507,0.03410754271098891
ECMWF-SEAS5.1,November,-0.05500281011300499,0.37014492753623185,0.12065355313666645,0.04598069550092463,0.14429613033893504
Météo France-System 8,September,0.008058160603529506,0.07094202898550726,0.15067505821858546,0.6257971014492753,0.32006414283203216
Météo France-System 8,October,-0.10920308691210105,0.15847826086956524,0.09428560039182773,-0.16706409068488237,0.0428720952190702
Météo France-System 8,November,-0.09601960315730389,0.2842028985507246,0.13014666425272875,0.3567898676791405,0.21198352020117445
Met Office-GloSea6.2,September,0.030354982266583324,0.3314492753623189,0.03243615120320569,0.3580434782608695,0.1337545630114913
Met Office-GloSea6.2,October,-0.15817191275620324,0.24268115942028987,0.17987097793880263,0.13366365134823696,0.19184833437321386
Met Office-GloSea6.2,November,0.17033831757809248,0.3226086956521739,0.4154606838659314,0.36660966162582315,0.45728025609743417
DWD-GCFS2.1,September,0.08136168808975948,0.1351449275362319,0.259053906886261,0.15659420289855072,0.22477346592552783
DWD-GCFS2.1,October,-0.018679108383803003,0.1834057971014493,0.11450723208106593,0.24116545565432532,0.2534117662882983
DWD-GCFS2.1,November,0.13592461028611605,0.5288405797101449,0.1660689529663795,0.27338121835583973,0.3142042034037273
CMCC-SPSv3.5,September,0.026257155825200655,0.0858695652173913,0.12074463879962276,0.2088405797101449,0.052930028661150735
CMCC-SPSv3.5,October,0.10970268502740799,0.24637681159420288,0.03280208031567213,0.1069249463830123,0.1588015249166624
CMCC-SPSv3.5,November,0.14104172767807754,0.5433333333333333,0.2002130009119295,0.24128307828815043,0.12551051569540758
NCEP-CFSv2,September,0.02244657947483786,0.15405797101449273,0.29617477402962883,0.193768115942029,0.2861926401044626
NCEP-CFSv2,October,0.0006049054033319439,0.2182608695652174,0.2845688024936092,0.3039912116900797,0.2262834516905268
NCEP-CFSv2,November,-0.023345536898212123,0.26181159420289857,0.09417018545021467,0.3646130078650201,0.1921610547497728
JMA-CPS3,September,0.3275278279246586,0.534927536231884,0.04327859370476491,0.2377536231884058,0.08829972955140962
JMA-CPS3,October,0.21079022007771842,-0.006884057971014493,-0.11909921611442494,0.28783279992065836,0.046899377088156266
JMA-CPS3,November,-0.17441784984959802,0.4031884057971016,0.028676044938896954,0.2963892290020425,0.11890915281110162
ECCC-GEM5-NEMO,September,0.13781526155419935,0.41804347826086957,0.1519876863383217,-0.2565217391304348,0.06101071237008243
ECCC-GEM5-NEMO,October,0.13649205286525773,0.4632608695652174,0.10550906011665812,0.02155834133058949,0.05208519961975555
ECCC-GEM5-NEMO,November,0.3301833773411848,0.5559420289855073,0.11956460005216275,0.313602596467527,0.14709159955278872
