,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,December,-0.19506058650018293,0.12007246376811596,0.04490748040300651,0.12521739130434784,-0.019528387802846808
ECMWF-SEAS5.1,January,-0.21133914571545287,0.28702898550724637,-0.020324973465429372,-0.0015942028985507228,0.23050182589084425
ECMWF-SEAS5.1,February,-0.22404048884505728,0.46297101449275363,0.1035584972122438,0.14934782608695654,0.12705998166577906
Météo France-System 8,December,-0.015002959782117993,0.24731884057971013,-0.013887304236304163,0.09630434782608695,0.11593098937701493
Météo France-System 8,January,-0.013789424278909243,0.3460144927536232,0.032812365982843754,0.20101449275362315,0.06285359764014967
Météo France-System 8,February,-0.21029568255328662,0.5969565217391305,-0.061980219186965786,0.2886231884057971,0.08303531489626352
Met Office-GloSea6.2,December,-0.13462171886943494,0.3874637681159421,-0.20058032797112157,0.10333333333333332,0.1816862121588752
Met Office-GloSea6.2,January,-0.1879577798715026,0.43832345191040845,0.008904773438962997,-0.07056982872200264,0.15065536397016027
Met Office-GloSea6.2,February,-0.07049024985793713,0.3941304347826087,0.12544165473458208,0.1968115942028986,0.25203741847329536
DWD-GCFS2.1,December,0.0063563393977688985,0.07173913043478261,-0.07895764329335986,-0.2295652173913044,-0.016459203961183774
DWD-GCFS2.1,January,-0.10258962456183922,0.33253623188405795,-0.11535252937362261,0.007536231884057973,-0.012035488616183221
DWD-GCFS2.1,February,-0.29530798707558015,0.4119565217391304,0.15274619839063638,0.09572463768115942,0.1808296095875044
CMCC-SPSv3.5,December,-0.17179738599034303,0.0831159420289855,0.13467060915094045,0.25195652173913047,0.17280268085291337
CMCC-SPSv3.5,January,-0.07937968569697723,0.40449275362318843,0.056843327999769405,0.16492753623188405,0.1484065082513631
CMCC-SPSv3.5,February,-0.04231521847955436,0.5124637681159421,0.011848011516508312,0.30920289855072464,0.14015259452986667
NCEP-CFSv2,December,-0.3063445331378415,0.30376811594202896,-0.01989856346056583,0.13485507246376813,0.07572180782108766
NCEP-CFSv2,January,-0.046812286783013225,0.30768115942028984,-0.1799509897432097,0.1651449275362319,0.027869416372398887
NCEP-CFSv2,February,-0.09017689585086457,0.4992028985507246,-0.09998540524191545,0.15913043478260866,0.1765169138700914
JMA-CPS3,December,-0.14025495943889288,0.1105072463768116,-0.0003223494098081464,-0.04268115942028985,0.13109202629778646
JMA-CPS3,January,-0.3380436279104117,0.20985507246376814,-0.10060765515224979,0.42115942028985515,0.22545720128501925
JMA-CPS3,February,0.03651595827416685,0.4942028985507245,-0.030528001905278927,0.17456521739130437,0.2171292758687366
ECCC-GEM5-NEMO,December,-0.1858169686077553,-0.03876811594202898,-0.08057398897766557,0.05710144927536231,-0.009453974014256775
ECCC-GEM5-NEMO,January,-0.0011647487654203891,0.008768115942028986,0.041707453343195984,0.036884057971014496,0.1496786402200724
ECCC-GEM5-NEMO,February,-0.031240935481879038,0.42507246376811597,0.05620215229132917,0.2831884057971014,0.3554004260464039
