,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,January,0.4928943099081988,0.4733380130898513,0.5179620726495726,0.6370442708333334,0.5891927083333334,0.5423177083333334,0.4889155982905983,0.5242721688034188,0.49616052350427353,0.451171875,0.4371744791666667,0.4007161458333333,0.5870768229166666,0.5214369225328427,0.5981670813357394
ECMWF-SEAS5.1,February,0.49233588556505226,0.4212751607053078,0.4584334935897436,0.5947265625,0.4501953125,0.5654296875,0.5924145299145299,0.5129206730769231,0.5852029914529915,0.6920572916666666,0.4658203125,0.6477864583333334,0.583809094551282,0.47975071843344413,0.5664201377666451
ECMWF-SEAS5.1,March,0.48102766896169674,0.42445054945054944,0.4579326923076923,0.5198567708333334,0.5472005208333334,0.5784505208333334,0.6045005341880342,0.49599358974358976,0.5901442307692307,0.78125,0.4680989583333333,0.6142578125,0.6413553352029915,0.5321833761178378,0.5887921725180457
Météo France-System 8,January,0.6337265550807218,0.47329115941248295,0.577323717948718,0.7350260416666666,0.5270182291666666,0.470703125,0.5366920405982906,0.5103832799145299,0.6057692307692307,0.5843098958333334,0.517578125,0.6614583333333334,0.5561606904380342,0.5057731877176322,0.5523254223564426
Météo France-System 8,February,0.522602089268756,0.45052588343029515,0.45032051282051283,0.7242838541666666,0.5745442708333334,0.599609375,0.5173277243589743,0.5358907585470085,0.5316506410256411,0.5960286458333334,0.4986979166666667,0.5621744791666666,0.5479642427884616,0.5430454467889364,0.5295259530094089
Météo France-System 8,March,0.5461765986071542,0.42031704508726564,0.5337873931623932,0.6829427083333334,0.5045572916666666,0.7210286458333334,0.5652043269230769,0.5103165064102564,0.5238047542735043,0.5852864583333334,0.4664713541666667,0.5693359375,0.5879532251602564,0.5115043946858182,0.579428135436867
Met Office-GloSea6.2,January,0.5242165242165242,0.4797008547008548,0.5336894586894587,0.6420138888888889,0.5848214285714285,0.6260416666666667,0.5215811965811966,0.5082799145299145,0.5193732193732193,0.4329861111111111,0.5509672619047619,0.5201388888888889,0.48421474358974353,0.5028378739316239,0.4736289173789174
Met Office-GloSea6.2,February,0.5849143815289649,0.5481386464842347,0.5567574786324786,0.6422526041666666,0.4342447916666667,0.51953125,0.5596621260683761,0.5065438034188035,0.5222021901709402,0.578125,0.5192057291666666,0.5003255208333334,0.5022911658653846,0.4582183963477366,0.40620086676497524
Met Office-GloSea6.2,March,0.5481585351377019,0.38400292007828773,0.46821581196581197,0.6809895833333334,0.5891927083333334,0.611328125,0.5542868589743589,0.5152911324786325,0.5633346688034188,0.5406901041666666,0.4677734375,0.6604817708333334,0.5950938167735043,0.5331774975763691,0.5630686970300941
DWD-GCFS2.1,January,0.5544624485596708,0.4479576285642462,0.5351896367521367,0.6643880208333334,0.6123046875,0.6419270833333334,0.5084802350427351,0.49165331196581197,0.4824719551282051,0.248046875,0.4401041666666667,0.4186197916666667,0.5044696514423077,0.5352479090000791,0.534314742523612
DWD-GCFS2.1,February,0.4835615997942387,0.4367046097285068,0.47312366452991456,0.6617838541666666,0.419921875,0.6298828125,0.5846020299145299,0.4873130341880342,0.5831997863247863,0.5345052083333334,0.4449869791666667,0.5989583333333334,0.6105644030448718,0.5534884209797404,0.6515414859854198
DWD-GCFS2.1,March,0.5749230868154479,0.47306194112260286,0.5028378739316239,0.6311848958333334,0.46484375,0.662109375,0.5230702457264957,0.5222355769230769,0.5774906517094017,0.4811197916666667,0.4811197916666667,0.5677083333333334,0.6176090077457265,0.544393375079139,0.6032712213491166
CMCC-SPSv3.5,January,0.5720674066160177,0.46078543596925947,0.48140357905982906,0.6708984375,0.376953125,0.6028645833333334,0.5438701923076923,0.5255074786324786,0.5310496794871795,0.4954427083333333,0.5625,0.5100911458333334,0.5495417668269231,0.5376015513710827,0.4831310979920814
CMCC-SPSv3.5,February,0.5492227069484014,0.4971671761653379,0.465110844017094,0.58984375,0.4469401041666667,0.6002604166666666,0.5575921474358975,0.4641426282051282,0.5791599893162394,0.4775390625,0.4892578125,0.6748046875,0.5901650974893162,0.5001471490186767,0.5175758454423436
CMCC-SPSv3.5,March,0.5395717097974042,0.5508154784349637,0.5564569978632479,0.6985677083333334,0.5888671875,0.7210286458333334,0.5963207799145299,0.5089476495726496,0.6050681089743589,0.6302083333333334,0.4791666666666667,0.6813151041666666,0.6921407585470085,0.5628147937935264,0.5694005717270882
