,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,December,0.4185192618450403,0.501941117273994,0.4173451305192983,0.5501302083333334,0.6197916666666666,0.5670572916666666,0.5167609795687014,0.4383239321208574,0.4650053776139367,0.453125,0.4085286458333333,0.5911458333333334,0.5037106187085988,0.5008843855726017,0.44211831546690183
ECMWF-SEAS5.1,January,0.3732377340889307,0.5004776154000617,0.40360275942512663,0.6497395833333334,0.6572265625,0.6223958333333334,0.5007905072699513,0.5197184281715906,0.5155658385922522,0.4466145833333333,0.4723307291666667,0.4293619791666667,0.59831313135834,0.44592254557093275,0.5749907122105492
ECMWF-SEAS5.1,February,0.3822373315145602,0.46085849874673357,0.35647182402645367,0.6796875,0.482421875,0.74609375,0.5754956857978127,0.4573284569174799,0.5304849185022629,0.5491536458333334,0.4527994791666667,0.5999348958333334,0.5821670134161684,0.4982561568034367,0.5342686755492507
Météo France-System 8,December,0.4968488431675845,0.4282315032150639,0.5184351360120443,0.6129557291666666,0.5231119791666666,0.64453125,0.4936927185126323,0.4829850218927972,0.4690262265676283,0.4453125,0.5074869791666666,0.5719401041666666,0.5311090120103504,0.5159631672426639,0.5482506931183339
Météo France-System 8,January,0.4754395595504178,0.42370734652050573,0.4990652993725482,0.6087239583333334,0.5859375,0.7135416666666666,0.5429812754071441,0.5019149684543545,0.5213494264626892,0.5452473958333334,0.4720052083333333,0.5921223958333334,0.5201825934442248,0.5123819615298683,0.5419221867975301
Météo France-System 8,February,0.442426494171422,0.40136246815114035,0.3766458158262737,0.8297526041666666,0.7340494791666666,0.8170572916666666,0.4543380897119514,0.4908103001420415,0.5018621028114703,0.6061197916666666,0.533203125,0.576171875,0.5295961566740487,0.5104672781361022,0.5481602664892642
Met Office-GloSea6.2,December,0.3974265153734485,0.5330456063135685,0.4794691899015957,0.6266276041666666,0.5345052083333334,0.7522786458333334,0.41980523958659066,0.5224488932516494,0.4181964915837576,0.58203125,0.48828125,0.5152994791666666,0.617744910122189,0.47777160937982444,0.5081315118591152
Met Office-GloSea6.2,January,0.44741481337804984,0.48707061287805553,0.4193559045310923,0.6145833333333334,0.5420386904761904,0.7128472222222221,0.4878375221081573,0.4766706569652155,0.4934463490845136,0.4364583333333334,0.47507440476190466,0.47013888888888894,0.6069424757626264,0.48310643414121157,0.5100757260503535
Met Office-GloSea6.2,February,0.45594000887351316,0.5677957336101045,0.46631085044704645,0.7001953125,0.671875,0.6373697916666666,0.5596663660177145,0.4753749481127031,0.5677799252550483,0.5774739583333334,0.4456380208333333,0.6145833333333334,0.6300940538260394,0.5247354112580779,0.6329304011291736
