,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,June,0.6758145733738034,0.48453178676570746,0.7482010785430039,0.6813151041666666,0.4527994791666667,0.6774088541666666,0.6318153523144806,0.4612687380585989,0.5867916947200358,0.5364583333333334,0.4596354166666667,0.5537109375,0.564810074921486,0.44435738599459046,0.5984767034085966
ECMWF-SEAS5.1,July,0.6166864468471279,0.44346827968471253,0.5409644195158766,0.7067057291666666,0.5179036458333334,0.6634114583333334,0.5292294852607546,0.49836815870647627,0.5028773653392307,0.5139973958333334,0.5126953125,0.4713541666666667,0.559321975709204,0.5255197163983578,0.5555242981927452
ECMWF-SEAS5.1,August,0.6126395944099522,0.46921720191447686,0.6154852288190051,0.6526692708333334,0.3850911458333333,0.6917317708333334,0.5075596939833362,0.49384810510272636,0.5549821640388857,0.5172526041666666,0.470703125,0.5182291666666666,0.5096323242908511,0.47665510123337446,0.5462806147995164
Météo France-System 8,June,0.6488740276873708,0.5428570303290791,0.6585958895392634,0.728515625,0.5865885416666666,0.7470703125,0.5546017291183046,0.5113136293339426,0.5585627417519369,0.4007161458333333,0.5016276041666666,0.4267578125,0.46538308923900057,0.5468745496656466,0.5553712608393488
Météo France-System 8,July,0.6118536829559094,0.414570476422891,0.6423649879603816,0.6796875,0.4925130208333333,0.7203776041666666,0.5829467680498089,0.5137951335769454,0.6690796774080324,0.2561848958333333,0.4697265625,0.3587239583333333,0.5413046974271083,0.515918593654677,0.5685013089372084
Météo France-System 8,August,0.5705055007604948,0.46115032738602757,0.49470473581403407,0.7565104166666666,0.4830729166666667,0.7623697916666666,0.56586699904017,0.49415093995309917,0.6038860193947243,0.654296875,0.5009765625,0.6126302083333334,0.6714401232454172,0.516751686466656,0.6042423120074613
Met Office-GloSea6.2,June,0.5884786173915231,0.37885631579658124,0.6625334015923553,0.7220052083333334,0.5400390625,0.7418619791666666,0.5934022059304356,0.5004560607324531,0.5651423343946916,0.5696614583333334,0.486328125,0.4547526041666667,0.6521592951646015,0.5233132216556369,0.6218166377946698
Met Office-GloSea6.2,July,0.5992742606645728,0.46637880931694525,0.6511502857249266,0.7373046875,0.4586588541666667,0.7955729166666666,0.6152956125985258,0.5269588030935489,0.5955783642420887,0.5413411458333334,0.4440104166666667,0.4827473958333333,0.642045465545419,0.49127553329980395,0.6570600669468598
Met Office-GloSea6.2,August,0.6200933272344694,0.4493132039782885,0.6626769255203214,0.6949869791666666,0.6197916666666666,0.8359375,0.5522417135931321,0.5202957158442929,0.6289304610300398,0.5608723958333334,0.4749348958333333,0.4912109375,0.6171791629346445,0.49810736753680596,0.5988339225543536
DWD-GCFS2.1,June,0.6677621398677583,0.501452426939291,0.6020203021061622,0.5950520833333334,0.4261067708333333,0.5862630208333334,0.45784898999614726,0.5318825202664583,0.5102144241000126,0.5133463541666666,0.5260416666666666,0.4934895833333333,0.5340102438900265,0.43675868397518697,0.5436794373784278
DWD-GCFS2.1,July,0.5436283304745259,0.4343698918935612,0.5281173062913214,0.6246744791666666,0.41015625,0.5289713541666666,0.6129327209325781,0.5501624407093293,0.5521513150281987,0.4348958333333333,0.5384114583333334,0.4765625,0.5546815033759922,0.5024223876921775,0.5730312654736135
DWD-GCFS2.1,August,0.5550727293690996,0.5665116434138832,0.5528978453951056,0.744140625,0.4453125,0.7151692708333334,0.5365714565666692,0.49045149231178875,0.581573009037786,0.5074869791666666,0.4348958333333333,0.4527994791666667,0.5360841929143628,0.5045021702539458,0.5614054998082953
CMCC-SPSv3.5,June,0.610950902852575,0.42787898290388965,0.5791142314227163,0.6529947916666666,0.5481770833333334,0.5872395833333334,0.524349736564824,0.49518978279838555,0.5819727335278082,0.5045572916666666,0.4638671875,0.462890625,0.6076783200802206,0.4582894958452849,0.6005040616870191
