,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.05562923793830518,-0.052904835199154315,-0.061102327768210576,-0.05682580863262556,-0.0021165941342729,-0.003343673311201919,-0.0073535545941767,-0.005024339958362162,0.026916306987564365,-0.01602225454359035,-0.027425484752373858,-0.0452225251111093
ECMWF-SEAS5.1,lead2,-0.014562739848129017,-0.009622514346907331,-0.03225802173899902,0.009927723243113636,0.001669545102310754,-0.014584230958964462,0.0021084428084838635,-0.00800611488460781,-0.03930503144019988,-0.039828243667183925,-0.07325138774524521,-0.04494713354772161
ECMWF-SEAS5.1,lead1,0.031778383349359084,-0.07214773213847246,-0.019287487957007708,0.02990580512901519,0.02335074800256787,0.026694172592739776,-0.021583698134131895,0.005013353440990117,-0.02066862150911587,-0.05399125534453573,-0.012107248997200401,-0.026174310305866134
Météo France-System 8,lead3,-0.018520123714083188,-0.020567507951103826,-0.05970177618015244,0.02317376796421489,-0.03733497861366346,-0.04179710214968205,-0.09198033356104152,-0.04017663633456301,0.00014732176387091182,0.02142038462126197,0.014927410850012899,-0.002764185766356084
Météo France-System 8,lead2,-0.022002666181394324,-0.01579091194778862,-0.015952941039874775,-0.020350377734792317,-0.03004937453209438,-0.059503092849126915,0.005974654915748586,0.01801672444404949,0.048337993057952014,0.06260255980512094,0.017670682744794244,-0.03481345547837448
Météo France-System 8,lead1,-0.03164724263844241,0.004311638549055624,-0.060246169094053004,-0.0157526222902311,0.0023639808829355787,0.04742753202412659,-0.0093874307091829,0.0023221534009838377,0.020026763729839567,-0.014632412134606892,-0.08776271528269018,-0.011311738817494633
Met Office-GloSea6.2,lead3,0.008503353013999576,-0.037748630391307776,-0.0815443070350917,-0.04086810327508841,-0.008118328142949395,0.00032690462187549976,-0.013070331534623201,-0.012480309099383184,-0.00568681181438084,-0.045989832741075695,-0.05641390378862809,-0.024862741938660574
Met Office-GloSea6.2,lead2,0.04409159943683357,-0.0657516525335159,-0.05343465391116237,-0.017649791712427063,-0.032941060494579844,-0.0431434987589628,0.002055481994252121,-0.030080043761647204,0.03516616077861197,-0.008930302950856223,0.016068990383635465,0.025308562490188143
Met Office-GloSea6.2,lead1,-0.027120993677166808,-0.006284207272463949,-0.004494315576612653,-0.0014069513143904536,-0.07513226252688783,0.019087530211520067,-0.004630941146456709,0.021049762373144768,0.021295670933339533,-0.005880529067261082,-0.00926429278630239,0.08625025727569938
DWD-GCFS2.1,lead3,-0.09521680819718312,-0.06176266935765324,-0.0880153543073317,-0.04369432562201565,0.05181291630158458,-0.03500734763696922,-0.02858161374070982,-0.01957348298840246,-0.04018345865852928,0.020516941661974736,0.035975912823297526,0.025952730693774777
DWD-GCFS2.1,lead2,-0.02189860038031001,-0.06599362264625101,-0.08252936028991346,0.011058689459702483,0.020358324144478898,-0.031508446257496235,0.022146244405531902,-0.04213239508850739,0.021514583278635153,0.04350299745925173,0.02401447009368552,0.018207885271190785
