,,t2m (IP),t2m (CI),tp (IP),tp (CI),msl
ECMWF-SEAS5.1,March,-0.014572805772306578,-0.15592500000000029,-0.003343673311201919,-0.014787500000000176,0.025142848666281994
ECMWF-SEAS5.1,April,0.006331314751465755,-0.10047500000000037,-0.014584230958964462,0.023412499999999798,0.012038012526247525
ECMWF-SEAS5.1,May,0.002829075534229118,-0.14840000000000028,0.026694172592739776,-0.039412500000000246,0.05527855854671514
Météo France-System 8,March,0.013380131004720285,0.08259999999999969,-0.04179710214968205,-0.1042000000000003,-0.005873882359406271
Météo France-System 8,April,0.04383621577397634,0.11167499999999976,-0.059503092849126915,-0.0008500000000002487,0.003055777180514725
Météo France-System 8,May,0.0736839302959026,0.12029999999999981,0.04742753202412659,0.04604999999999973,0.07192369069231963
Met Office-GloSea6.2,March,-0.049211901501126955,-0.02744339923469401,0.00032690462187549976,-0.028878348214285993,-0.03282234663796407
Met Office-GloSea6.2,April,-0.004550551867626365,-0.07509566326530646,-0.0431434987589628,-0.040417729591836905,0.04533023130008636
Met Office-GloSea6.2,May,-0.03248818463266197,-0.02496213329081659,0.019087530211520067,-0.04563934948979618,0.023813245315332587
DWD-GCFS2.1,March,-0.12441037518517321,-0.26678819444444474,-0.03500734763696922,-0.10677083333333365,-0.06137538697800033
DWD-GCFS2.1,April,-0.17990390272909562,-0.14229166666666698,-0.031508446257496235,-0.08522569444444471,-0.060081231682423075
DWD-GCFS2.1,May,-0.11206709568732284,-0.19540798611111151,-0.02143272224248656,-0.1763020833333336,-0.0785061181441574
CMCC-SPSv3.5,March,0.003589647221881473,-0.11349609375000026,0.0012441810121425663,0.04266601562499973,-0.018320575134815453
CMCC-SPSv3.5,April,0.05255204951765685,-0.1279687500000001,0.01992842394484159,-0.0153662109375003,-0.012821046155466772
CMCC-SPSv3.5,May,0.0550951029668641,-0.16011718750000029,0.02396809687531936,0.061689453124999814,-0.04784647070602882
NCEP-CFSv2,March,-0.0015570133296253725,-0.03527343750000025,0.012091493656922336,-0.0005468750000002612,0.004931361385636363
NCEP-CFSv2,April,0.045389347537915084,-0.01411033163265322,0.01340685808868308,-0.08816964285714307,0.0024414521179597776
NCEP-CFSv2,May,0.02365205984161743,0.03110080295138869,-0.05576097897020238,0.0013292100694441515,-0.01740859996971969
JMA-CPS3,March,0.055967398535500444,-0.26937500000000014,-0.024904067828492325,-0.22296875000000016,-0.08935006244390804
JMA-CPS3,April,-0.016255158303828465,-0.15843750000000037,-0.04138347744494777,-0.11125000000000022,-0.11019660015808667
JMA-CPS3,May,-0.05125703829063679,-0.17406250000000023,-0.022210012173030598,-0.3970312500000004,0.011820214393525087
ECCC-GEM5-NEMO,March,-0.06096696019227415,-0.2637500000000003,-0.1083379519932001,-0.1512500000000003,-0.201720888251441
ECCC-GEM5-NEMO,April,-0.15596305195188906,-0.2069531250000003,-0.15191724809511137,-0.1973437500000003,-0.08197296217121179
ECCC-GEM5-NEMO,May,-0.007229081656735442,-0.1948437500000003,-0.08428259850707512,-0.1307812500000003,-0.06192567179880176
