,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.10869565217391304,0.2,0.5886956521739131,-0.06260869565217392,0.013043478260869565,-0.12347826086956522,-0.05478260869565217,0.3008695652173913,0.16695652173913045,0.058260869565217394,-0.06608695652173913,0.24347826086956523
ECMWF-SEAS5.1,lead2,-0.03217391304347826,-0.034782608695652174,0.5052173913043478,0.2217391304347826,0.057391304347826085,0.16956521739130434,0.4678260869565217,0.3139130434782609,0.16608695652173913,0.12347826086956522,0.0408695652173913,0.32
ECMWF-SEAS5.1,lead1,0.2982608695652174,0.2382608695652174,0.5034782608695653,0.2,-0.0008695652173913044,0.06173913043478261,-0.3626086956521739,0.13478260869565217,0.3269565217391304,0.10434782608695652,0.0,-0.04173913043478261
Météo France-System 8,lead3,0.05391304347826087,0.16260869565217392,0.5765217391304348,0.35739130434782607,-0.12782608695652173,0.26,-0.1634782608695652,0.24347826086956523,0.3652173913043478,0.20347826086956522,0.2782608695652174,0.36869565217391304
Météo France-System 8,lead2,0.3417391304347826,-0.19391304347826088,0.4834782608695652,-0.06173913043478261,0.11043478260869566,0.03304347826086956,-0.1373913043478261,0.17130434782608694,0.19304347826086957,0.5026086956521739,0.1826086956521739,0.30695652173913046
Météo France-System 8,lead1,-0.06782608695652174,0.19130434782608696,0.5060869565217392,0.22434782608695653,-0.010434782608695653,0.1191304347826087,-0.27652173913043476,-0.08956521739130435,0.3973913043478261,0.38,0.15217391304347827,0.4182608695652174
Met Office-GloSea6.2,lead3,0.3130434782608696,-0.28608695652173916,0.6643478260869565,-0.22727272727272727,0.0034782608695652175,-0.05565217391304348,-0.30434782608695654,0.11739130434782609,0.31130434782608696,0.08782608695652173,0.0052173913043478265,0.4234782608695652
Met Office-GloSea6.2,lead2,0.11739130434782609,0.16956521739130434,0.5642292490118577,-0.22695652173913045,-0.13826086956521738,0.07304347826086957,0.09304347826086956,0.050434782608695654,0.22956521739130434,0.22956521739130434,0.3582608695652174,0.5260869565217391
Met Office-GloSea6.2,lead1,0.0034782608695652175,0.29446640316205536,0.577391304347826,0.02,0.051304347826086956,0.12695652173913044,0.06,0.06695652173913043,0.2643478260869565,0.13826086956521738,0.3182608695652174,0.3782608695652174
DWD-GCFS2.1,lead3,0.11652173913043479,0.026956521739130435,0.6939130434782609,0.17652173913043478,-0.1782608695652174,-0.08782608695652173,-0.1634782608695652,0.15130434782608695,0.36434782608695654,0.034782608695652174,0.0791304347826087,0.4217391304347826
