,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.021699999999999497,-0.03350000000000075,-0.26390000000000047,0.08919999999999983,-0.028400000000000425,-0.038300000000000445,-0.09200000000000008,-0.04100000000000015,0.09460000000000013,0.030399999999999983,-0.07790000000000008,-0.07040000000000002
ECMWF-SEAS5.1,lead2,0.011799999999999478,-0.02660000000000018,0.012700000000000156,-0.03170000000000006,-0.029600000000000293,-0.045800000000000285,-0.0032000000000000917,-0.1420999999999999,0.16749999999999987,-0.10160000000000036,0.0975999999999998,-0.08420000000000027
ECMWF-SEAS5.1,lead1,0.07089999999999941,0.09549999999999981,0.10149999999999992,-0.028699999999999948,-0.18410000000000082,-0.006200000000000427,-0.03949999999999987,-0.07910000000000017,0.12280000000000002,0.007599999999999718,-0.039500000000000535,-0.11660000000000004
Météo France-System 8,lead3,0.03789999999999927,0.13209999999999933,-0.11330000000000018,0.04119999999999946,0.0036999999999998145,-0.000500000000000167,-0.037699999999999845,-0.021500000000000297,0.051999999999999935,0.02290000000000003,-0.013400000000000079,-0.04489999999999994
Météo France-System 8,lead2,-0.05120000000000058,0.030999999999999805,-0.019399999999999862,0.06249999999999967,0.08079999999999943,0.045099999999999696,-0.08030000000000026,-0.1814,0.05349999999999988,-0.057499999999999885,0.036699999999999955,-0.05059999999999998
Météo France-System 8,lead1,0.0597999999999993,0.010299999999999199,-0.06860000000000044,0.001000000000000112,-0.09410000000000074,-0.1325000000000005,-0.10460000000000025,-0.13610000000000033,0.0228999999999997,0.030099999999999683,0.061599999999999655,-0.15740000000000043
Met Office-GloSea6.2,lead3,0.013472576530611846,0.004862882653060785,-0.12547831632653095,-0.0013605442176873872,-0.2904974489795924,-0.034359056122449605,-0.04894770408163285,-0.11639030612244916,-0.016661352040816535,-0.05827487244897944,-0.04296875,-0.06305803571428581
Met Office-GloSea6.2,lead2,0.19331951530612212,0.03882334183673408,-0.2140518707482999,0.1361607142857142,-0.13193558673469452,0.0780452806122448,-0.012356505102040893,-0.18263711734693855,0.055564413265306145,-0.034837372448979886,0.05532525510204056,-0.04607780612244916
Met Office-GloSea6.2,lead1,0.07948022959183632,0.017219387755102233,0.08235012755102022,-0.020966198979592177,-0.2017697704081638,-0.023836096938775864,-0.12954400510204112,-0.009964923469387932,0.026865433673469052,-0.03579400510204089,0.11128826530612257,0.03404017857142816
DWD-GCFS2.1,lead3,0.03541666666666643,-0.025000000000000355,-0.263541666666667,-0.03270833333333356,-0.16729166666666728,-0.12854166666666722,-0.1077083333333333,-0.066041666666667,0.04937500000000006,0.06354166666666639,-0.007083333333333552,-0.0335416666666668
