,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.010899999999999688,0.08409999999999984,0.14829999999999954,-0.08930000000000038,-0.08630000000000004,-0.05150000000000032,-0.11329999999999996,0.05529999999999935,0.04569999999999963,-0.06529999999999991,-0.13340000000000019,0.10989999999999978
ECMWF-SEAS5.1,lead2,-0.12740000000000018,-0.03500000000000014,0.2064999999999998,-0.015500000000000291,-0.01580000000000026,0.05769999999999986,0.04480000000000006,0.0981999999999994,-0.0004999999999999449,0.010899999999999799,-0.055399999999999894,0.13989999999999947
ECMWF-SEAS5.1,lead1,0.055299999999999794,0.12160000000000015,0.17949999999999977,0.03339999999999954,-0.029600000000000293,-0.09440000000000004,-0.19250000000000012,0.04359999999999953,0.02049999999999974,0.015099999999999891,-0.0887,-0.020000000000000462
Météo France-System 8,lead3,-0.04129999999999989,0.018100000000000005,0.21159999999999946,0.017799999999999483,-0.131,0.01299999999999979,-0.10910000000000042,0.03789999999999949,0.16179999999999983,-0.04940000000000011,-0.03649999999999998,0.06189999999999951
Météo France-System 8,lead2,0.03669999999999962,-0.06020000000000003,0.18220000000000003,-0.03680000000000061,-0.01220000000000021,-0.06350000000000011,-0.06679999999999975,-0.0761000000000005,0.010299999999999754,0.07810000000000006,0.0006999999999998119,0.055899999999999506
Météo France-System 8,lead1,-0.07100000000000062,-0.05690000000000017,0.2427999999999998,0.0027999999999994696,-0.04820000000000024,-0.028100000000000458,-0.17120000000000024,-0.0125000000000004,0.14739999999999998,0.008500000000000063,-0.054800000000000404,0.16659999999999964
Met Office-GloSea6.2,lead3,0.0412149234693876,-0.024075255102040893,0.2358896683673466,-0.09694940476190483,-0.036989795918367596,0.0294961734693876,-0.20535714285714257,0.04169323979591788,0.0625,-0.08912627551020402,-0.008529974489795977,0.12228954081632626
Met Office-GloSea6.2,lead2,-0.05157844387755128,0.030931122448979553,0.26829294217687083,-0.1536989795918371,-0.055883290816326925,0.021364795918367263,0.008928571428571397,-0.0025510204081635734,0.026865433673469274,-0.029336734693877764,0.042889030612244694,0.17920918367346894
Met Office-GloSea6.2,lead1,-0.01666135204081609,-0.010894982993197688,0.2559789540816324,-0.11447704081632692,-0.047512755102041115,0.008928571428571286,0.0053411989795917325,-0.010921556122449605,0.07541454081632615,-0.004942602040816535,0.029257015306122125,0.15122767857142838
DWD-GCFS2.1,lead3,-0.08500000000000041,0.005624999999999769,0.18937499999999974,-0.02666666666666706,-0.11604166666666682,0.006666666666666599,-0.04354166666666681,0.018541666666666234,0.10062499999999996,-0.07833333333333359,-0.055416666666667114,0.12062499999999965
DWD-GCFS2.1,lead2,-0.010000000000000231,-0.11166666666666702,0.17562499999999948,0.009166666666666323,-0.042291666666666616,-0.07354166666666662,-0.01145833333333357,-0.012083333333333668,0.07229166666666642,0.1104166666666665,0.03020833333333317,0.02729166666666627
DWD-GCFS2.1,lead1,-0.13541666666666696,-0.04187500000000011,0.13270833333333332,-0.13666666666666716,-0.14395833333333363,-0.17937500000000028,-0.009166666666666767,0.06312499999999965,0.003958333333333286,0.011874999999999969,-0.04583333333333339,0.15145833333333292
CMCC-SPSv3.5,lead3,0.02183593749999979,-0.08527343750000038,0.22210937499999972,-0.05000000000000049,-0.011679687500000258,-0.03804687500000026,-0.019296875000000213,-0.11140625000000082,0.027929687500000022,0.0024999999999999467,-0.018476562500000293,0.030039062499999547
CMCC-SPSv3.5,lead2,-0.04742187499999995,-0.09066406250000014,0.19046874999999985,0.03460937499999983,0.1032812500000001,-0.1826562500000004,-0.023867187500000497,0.03566406249999943,-0.04472656250000018,-0.08199218750000026,-0.02902343750000025,0.06941406249999948
CMCC-SPSv3.5,lead1,-0.08703125000000012,-0.011328125000000355,0.27847656249999975,0.10960937499999968,-0.004648437500000213,-0.14550781250000022,-0.060546875,0.0015624999999998002,-0.019531250000000222,-0.05867187499999993,0.004023437499999782,0.02136718749999933
NCEP-CFSv2,lead3,-0.15592447916666696,-0.00944010416666674,0.08854166666666596,0.08785076530612224,-0.022786458333333703,0.004375000000000018,-0.03459821428571441,0.12662760416666652,0.09700520833333315,0.08235677083333304,0.055989583333332926,0.006835937499999445
NCEP-CFSv2,lead2,-0.17708333333333326,0.09830729166666674,0.12181122448979598,-0.20182291666666718,-0.11234374999999974,-0.11830357142857184,0.05240885416666652,0.0065104166666660745,0.06542968749999967,0.20638020833333337,0.03548177083333337,0.16015624999999967
NCEP-CFSv2,lead1,-0.15706380208333326,-0.018096301020408267,0.1337890625,-0.14468750000000075,-0.10347576530612268,-0.022623697916667185,0.005859375,-0.001953125000000222,0.1562499999999999,-0.025390625000000444,0.03255208333333315,0.061360677083332926
JMA-CPS3,lead3,0.006249999999999867,-0.06125000000000025,0.15812499999999952,-0.06125000000000047,0.07562499999999983,-0.11937500000000023,-0.125,-0.26937500000000036,-0.07812500000000067,0.08874999999999988,-0.1062500000000004,0.24437499999999956
JMA-CPS3,lead2,0.13187499999999985,-0.224375,0.255625,-0.029375000000000595,0.15999999999999992,-0.12125000000000008,-0.06125000000000025,-0.19999999999999996,0.1393749999999998,-0.08562500000000006,-0.021875000000000533,0.03249999999999964
JMA-CPS3,lead1,-0.012500000000000178,-0.1362500000000002,0.06437500000000007,0.08499999999999941,-0.09875000000000012,0.03812499999999985,-0.1625000000000001,-0.06312500000000032,0.0006249999999998757,-0.1943750000000002,-0.02000000000000024,0.10374999999999956
ECCC-GEM5-NEMO,lead3,-0.14375000000000004,0.14687499999999976,0.09624999999999984,0.011874999999999636,0.06812499999999955,-0.061249999999999805,-0.19812500000000033,0.1599999999999996,0.06999999999999984,-0.14375000000000027,-0.12499999999999978,0.20874999999999988
ECCC-GEM5-NEMO,lead2,-0.05562500000000026,-0.2825000000000002,0.109375,-0.07812500000000044,-0.28625000000000056,-0.18874999999999997,-0.02937500000000015,-0.24500000000000055,-0.0031250000000000444,-0.33312500000000034,-0.10437500000000033,0.1431249999999996
ECCC-GEM5-NEMO,lead1,-0.09125000000000005,0.07374999999999976,-0.050000000000000044,0.07374999999999965,-0.29750000000000054,-0.02937500000000015,0.05499999999999994,0.1281249999999997,0.13937500000000003,-0.125,-0.14374999999999982,-0.07812500000000044
