,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,-0.031700000000000506,-0.036200000000000454,-0.10100000000000042,-0.02450000000000041,-0.03200000000000025,-0.05209999999999981,-0.027200000000000113,0.028299999999999548,-0.07370000000000032,-0.09320000000000062,-0.0932000000000004,-0.09830000000000028
ECMWF-SEAS5.1,lead2,-0.2501000000000002,0.016899999999999804,0.009999999999999787,0.049899999999999944,0.028899999999999815,-0.06499999999999972,0.04599999999999982,-0.1307000000000007,-0.12050000000000027,0.041799999999999615,0.029799999999999494,0.04269999999999974
ECMWF-SEAS5.1,lead1,-0.016400000000000192,0.0339999999999997,0.12190000000000001,-0.030500000000000194,-0.02870000000000017,0.08469999999999989,0.04510000000000003,-0.1832000000000007,-0.04490000000000016,-0.12770000000000037,0.04359999999999997,-0.13880000000000003
Météo France-System 8,lead3,-0.07070000000000021,-0.06289999999999996,0.029499999999999638,-0.16520000000000024,-0.05840000000000001,-0.1019000000000001,-0.050000000000000266,-0.15680000000000094,-0.02629999999999999,0.03429999999999955,-0.04130000000000056,0.006099999999999883
Météo France-System 8,lead2,-0.02900000000000036,0.03159999999999974,0.06249999999999967,-0.07520000000000016,0.0411999999999999,-0.0464,0.006699999999999928,0.031899999999999595,-0.09860000000000047,0.018699999999999717,-0.15440000000000054,-0.029300000000000326
Météo France-System 8,lead1,0.006999999999999895,0.030099999999999683,-0.025700000000000056,-0.16220000000000034,0.03909999999999969,-0.15170000000000017,0.01719999999999977,-0.16010000000000058,-0.04490000000000016,0.0039999999999994484,-0.05090000000000017,0.04630000000000012
Met Office-GloSea6.2,lead3,-0.0063775510204084895,-0.03842474489795955,0.050542091836734304,-0.08032525510204125,0.04049744897959162,-0.05923150510204089,0.07326211734693866,-0.05492665816326592,0.0897640306122447,-0.05779655612244983,-0.015226403061225247,-0.08362563775510212
Met Office-GloSea6.2,lead2,-0.1503507653061229,-0.05373086734693899,-0.04756590136054428,-0.020966198979591733,0.016581632653060785,-0.08984374999999978,0.04001913265306112,-0.07860331632653117,-0.08099489795918391,-0.08075573979591888,0.016820790816325926,0.031170280612244694
Met Office-GloSea6.2,lead1,-0.13145727040816357,0.02479804421768661,0.16270727040816324,-0.0838647959183676,-0.004703443877551061,-0.18287627551020424,0.015624999999999667,-0.10347576530612312,0.10243941326530581,-0.034359056122449605,-0.03698979591836782,0.08306760204081598
DWD-GCFS2.1,lead3,0.043333333333333224,-0.06125000000000003,0.06416666666666637,-0.066041666666667,-0.005833333333333579,-0.025416666666666865,-0.07250000000000045,-0.011875000000000302,-0.025000000000000133,0.04437499999999972,-0.08729166666666699,0.004999999999999671
DWD-GCFS2.1,lead2,0.1327083333333332,-0.2339583333333335,-0.027291666666666714,-0.06458333333333388,-0.08020833333333344,-0.07125000000000004,-0.021875000000000533,-0.026458333333333917,-0.07958333333333334,-0.06208333333333371,-0.07916666666666705,0.037083333333333246
DWD-GCFS2.1,lead1,-0.012916666666667131,0.21812499999999968,0.1399999999999998,-0.17562500000000014,0.09937499999999999,0.015624999999999778,0.003958333333333064,-0.010416666666667185,-0.07770833333333349,0.005624999999999547,-0.0050000000000005596,-0.05979166666666691
CMCC-SPSv3.5,lead3,0.008476562499999951,-0.06875000000000031,-0.022460937500000222,-0.0443750000000005,0.03343750000000001,0.01878906250000012,0.1126562499999999,-0.014726562500000595,-0.15195312500000036,-0.052109375000000346,-0.028789062500000462,-0.011445312500000249
CMCC-SPSv3.5,lead2,0.0012109374999997868,0.016796874999999933,0.1216796874999998,0.0067187499999997735,-0.005468750000000133,-0.017773437499999822,0.10058593749999989,-0.0800000000000003,-0.08527343749999994,-0.039804687500000435,0.0080078124999996,-0.04613281250000001
CMCC-SPSv3.5,lead1,0.09437499999999976,0.007890624999999818,0.12015624999999974,-0.11749999999999994,0.11851562499999957,-0.11117187500000014,0.08605468749999978,0.018085937499999538,-0.05351562500000018,0.0024999999999995026,-0.05832031250000025,-0.1003906250000004
NCEP-CFSv2,lead3,0.0322265625,-0.004231770833333481,0.030924479166666075,-0.07692920918367352,-0.1064453125,0.009531250000000102,-0.08673469387755128,-0.09472656250000044,0.038085937499999556,0.06022135416666663,0.08723958333333282,-0.11002604166666652
NCEP-CFSv2,lead2,0.02652994791666652,0.04850260416666663,0.005580357142856873,0.03580729166666652,-0.09265625000000033,-0.004942602040816313,-0.003906250000000666,-0.11751302083333393,-0.020833333333333703,0.051432291666666186,0.0016276041666661856,-0.02994791666666674
