,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.04150000000000009,-0.025100000000000122,-0.10550000000000015,0.05859999999999954,0.09069999999999967,0.04659999999999975,0.1671999999999998,-0.09200000000000053,0.14949999999999974,-0.16130000000000022,-0.0007999999999999119,-0.05270000000000019
ECMWF-SEAS5.1,lead2,-0.11450000000000027,-0.04580000000000006,-0.05449999999999999,0.03069999999999984,-0.017300000000000093,0.0813999999999997,0.17859999999999954,-0.17120000000000046,0.04750000000000021,-0.18020000000000014,-0.014000000000000234,-0.0056000000000004935
ECMWF-SEAS5.1,lead1,-0.10940000000000016,0.013900000000000023,-0.000500000000000389,0.06819999999999993,-0.09320000000000017,0.22029999999999983,-0.018800000000000594,-0.1595000000000002,0.03789999999999982,-0.01429999999999998,-0.06530000000000014,-0.19520000000000026
Météo France-System 8,lead3,0.009100000000000219,0.0040000000000000036,0.02379999999999982,-0.027800000000000047,-0.13310000000000022,0.01629999999999976,0.08739999999999937,0.037900000000000045,0.03699999999999981,-0.0823999999999998,0.07660000000000011,-0.10010000000000008
Météo France-System 8,lead2,0.12009999999999998,-0.010700000000000154,-0.1205000000000005,0.05379999999999974,-0.1142000000000003,0.10330000000000006,0.11709999999999976,0.0612999999999998,-0.03950000000000031,-0.02839999999999998,-0.1151000000000002,-0.10940000000000039
Météo France-System 8,lead1,-0.013700000000000045,-0.04220000000000024,-0.08780000000000032,0.02259999999999973,-0.1001000000000003,-0.023900000000000254,0.03189999999999937,-0.13100000000000023,-0.02299999999999991,-0.07789999999999986,-0.1241000000000001,-0.06860000000000044
Met Office-GloSea6.2,lead3,0.060825892857142905,-0.03579400510204089,-0.06999362244897989,0.06513605442176829,-0.0793207908163267,-0.03555484693877564,0.12157206632653017,-0.002790178571428603,-0.022161989795918657,-0.06329719387755106,-0.050860969387755306,-0.019770408163265474
Met Office-GloSea6.2,lead2,0.01347257653061229,0.048150510204081454,-0.0793473639455784,0.04432397959183665,-0.10921556122449005,0.19260204081632626,0.11846301020408134,-0.0738201530612248,0.12085459183673475,-0.07238520408163285,-0.0676020408163267,0.052455357142856984
Met Office-GloSea6.2,lead1,-0.06281887755102011,-0.024829931972789376,-0.047512755102041115,-0.06831951530612246,-0.04201211734693899,0.17155612244897944,0.11726721938775475,-0.024075255102040893,0.016820790816326592,-0.12930484693877542,-0.05899234693877564,0.004623724489795755
DWD-GCFS2.1,lead3,-0.07437500000000008,-0.10666666666666713,0.09562499999999985,-0.10562500000000008,-0.02937500000000015,0.0502083333333333,0.20687499999999948,-0.02458333333333318,0.007708333333333095,-0.16999999999999993,-0.004375000000000018,0.03583333333333305
