,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.03217391304347826,0.3243478260869565,0.19391304347826088,0.5095652173913043,0.48,0.27043478260869563,0.5417391304347826,0.12347826086956522,0.019130434782608695,-0.043478260869565216,0.20956521739130435,0.1817391304347826
ECMWF-SEAS5.1,lead2,0.22608695652173913,0.10956521739130434,0.27391304347826084,0.29304347826086957,0.5321739130434783,0.2817391304347826,0.5339130434782609,0.1443478260869565,0.13304347826086957,-0.06956521739130435,0.09391304347826086,0.19391304347826088
ECMWF-SEAS5.1,lead1,0.10869565217391304,0.39652173913043476,0.24347826086956523,0.11565217391304349,0.45565217391304347,0.3660869565217391,0.43217391304347824,0.28608695652173916,0.18434782608695652,-0.1391304347826087,-0.01217391304347826,0.288695652173913
Météo France-System 8,lead3,0.2182608695652174,0.49391304347826087,0.2373913043478261,0.2634782608695652,0.10347826086956521,0.20608695652173914,0.2991304347826087,0.02434782608695652,-0.16782608695652174,-0.18956521739130436,0.1443478260869565,0.21391304347826087
Météo France-System 8,lead2,0.34,0.17652173913043478,0.01565217391304348,0.4295652173913043,0.11826086956521739,0.17565217391304347,0.2530434782608696,-0.18782608695652173,-0.2608695652173913,0.22434782608695653,-0.06695652173913043,0.2426086956521739
Météo France-System 8,lead1,0.20173913043478262,0.12869565217391304,0.37130434782608696,0.025217391304347827,0.37478260869565216,0.19043478260869565,0.4373913043478261,0.008695652173913044,0.08695652173913043,0.08608695652173913,-0.13304347826086957,0.16869565217391305
Met Office-GloSea6.2,lead3,0.1808695652173913,0.07130434782608695,0.25217391304347825,0.4407114624505929,0.4356521739130435,0.043478260869565216,0.3617391304347826,0.036521739130434785,-0.20608695652173914,-0.13652173913043478,-0.01217391304347826,0.06260869565217392
Met Office-GloSea6.2,lead2,0.19043478260869565,0.2808695652173913,0.11363636363636363,0.331304347826087,0.24695652173913044,0.49391304347826087,0.32956521739130434,0.14,-0.08782608695652173,-0.042608695652173914,-0.04608695652173913,0.19478260869565217
Met Office-GloSea6.2,lead1,0.22260869565217392,0.08498023715415019,0.28782608695652173,0.4365217391304348,0.45217391304347826,0.24869565217391304,0.3834782608695652,-0.15043478260869564,-0.049565217391304345,-0.10086956521739131,-0.11652173913043479,0.4008695652173913
DWD-GCFS2.1,lead3,0.2530434782608696,0.26,0.04782608695652174,0.2382608695652174,0.16521739130434782,0.21739130434782608,0.548695652173913,-0.1634782608695652,-0.22086956521739132,0.3243478260869565,0.3739130434782609,0.18869565217391304
DWD-GCFS2.1,lead2,0.4026086956521739,0.06,0.13391304347826086,0.42695652173913046,0.2782608695652174,0.16956521739130434,0.3947826086956522,0.05391304347826087,0.40869565217391307,0.43478260869565216,0.11826086956521739,0.24434782608695652
DWD-GCFS2.1,lead1,0.1817391304347826,0.34,0.25043478260869567,0.2643478260869565,0.3095652173913043,0.24956521739130436,0.4434782608695652,0.4443478260869565,0.1443478260869565,0.11217391304347826,0.22,0.6026086956521739
CMCC-SPSv3.5,lead3,0.20695652173913043,0.10695652173913044,0.2234782608695652,0.30869565217391304,0.2747826086956522,0.08869565217391304,0.4191304347826087,0.02,-0.01565217391304348,0.21043478260869566,0.14608695652173914,0.11565217391304349
CMCC-SPSv3.5,lead2,0.05391304347826087,0.10869565217391304,0.10695652173913044,0.54,0.5017391304347826,0.15304347826086956,0.5991304347826087,0.0782608695652174,0.0782608695652174,0.017391304347826087,-0.10869565217391304,0.27217391304347827
CMCC-SPSv3.5,lead1,0.20869565217391303,0.10608695652173913,0.2008695652173913,0.4052173913043478,0.6339130434782608,0.09913043478260869,0.5391304347826087,-0.034782608695652174,0.11565217391304349,-0.06608695652173913,0.042608695652173914,0.24695652173913044
NCEP-CFSv2,lead3,0.23565217391304347,0.1408695652173913,0.2982608695652174,0.17043478260869566,0.42869565217391303,0.3026086956521739,0.14608695652173914,0.15391304347826087,0.05217391304347826,0.02,0.07130434782608695,0.40695652173913044
NCEP-CFSv2,lead2,0.06260869565217392,0.32869565217391306,0.22869565217391305,0.2391304347826087,0.31217391304347825,0.2591304347826087,0.19130434782608696,0.2773913043478261,0.042608695652173914,-0.04434782608695652,0.4121739130434783,0.3947826086956522
NCEP-CFSv2,lead1,0.35739130434782607,0.19130434782608696,0.3591304347826087,0.30695652173913046,0.24434782608695652,0.1808695652173913,0.3165217391304348,0.11739130434782609,0.13391304347826086,0.00608695652173913,0.271304347826087,0.3182608695652174
JMA-CPS3,lead3,0.27304347826086955,0.11739130434782609,0.10695652173913044,-0.2008695652173913,0.06695652173913043,0.1634782608695652,0.33304347826086955,0.14956521739130435,0.32,-0.12347826086956522,0.06782608695652174,-0.17217391304347826
JMA-CPS3,lead2,0.020869565217391306,0.19043478260869565,0.16956521739130434,0.15043478260869564,0.3417391304347826,-0.11826086956521739,0.27304347826086955,0.2530434782608696,0.1191304347826087,0.07304347826086957,-0.04521739130434783,0.3408695652173913
JMA-CPS3,lead1,0.3773913043478261,0.20521739130434782,0.25217391304347825,0.3408695652173913,0.2391304347826087,0.3582608695652174,0.39652173913043476,-0.1782608695652174,0.3391304347826087,-0.24695652173913044,0.06869565217391305,0.22956521739130434
ECCC-GEM5-NEMO,lead3,0.07565217391304348,0.15391304347826087,0.22434782608695653,0.3834782608695652,0.4365217391304348,-0.1373913043478261,0.35391304347826086,0.12521739130434784,0.16608695652173913,-0.15478260869565216,0.2,-0.010434782608695653
ECCC-GEM5-NEMO,lead2,0.09391304347826086,0.2643478260869565,0.3730434782608696,0.5826086956521739,-0.00608695652173913,0.13043478260869565,0.4252173913043478,0.288695652173913,0.16695652173913045,-0.0391304347826087,-0.11565217391304349,0.06260869565217392
ECCC-GEM5-NEMO,lead1,0.4078260869565217,0.25043478260869567,0.35043478260869565,-0.03826086956521739,0.4234782608695652,0.04173913043478261,0.46347826086956523,0.20695652173913043,-0.0034782608695652175,-0.24956521739130436,0.14782608695652175,0.06956521739130435
