,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.06,0.22956521739130434,0.07391304347826087,0.25478260869565217,0.39217391304347826,0.48,0.5791304347826087,0.47130434782608693,0.48,-0.20173913043478262,0.2182608695652174,0.28782608695652173
ECMWF-SEAS5.1,lead2,0.2756521739130435,0.051304347826086956,0.06173913043478261,0.26869565217391306,-0.0052173913043478265,0.4191304347826087,0.5156521739130435,0.5582608695652174,0.1408695652173913,-0.021739130434782608,0.05565217391304348,0.27217391304347827
ECMWF-SEAS5.1,lead1,0.06434782608695652,0.28956521739130436,0.36869565217391304,0.09652173913043478,0.06173913043478261,0.32,0.43043478260869567,0.5356521739130434,0.03391304347826087,0.09652173913043478,-0.1356521739130435,0.11826086956521739
Météo France-System 8,lead3,0.3382608695652174,0.3652173913043478,0.3217391304347826,0.18956521739130436,0.09043478260869565,0.3617391304347826,0.5982608695652174,0.6634782608695652,0.3226086956521739,0.2643478260869565,-0.12260869565217392,0.1373913043478261
Météo France-System 8,lead2,0.36,0.18347826086956523,-0.01565217391304348,0.15739130434782608,0.17304347826086958,0.4052173913043478,0.5678260869565217,0.668695652173913,0.5469565217391305,0.14695652173913043,-0.1634782608695652,0.25217391304347825
Météo France-System 8,lead1,0.2791304347826087,0.19130434782608696,0.29739130434782607,0.2634782608695652,0.21043478260869566,0.38608695652173913,0.4765217391304348,0.508695652173913,0.28,-0.12434782608695652,-0.04782608695652174,0.2391304347826087
Met Office-GloSea6.2,lead3,0.14869565217391303,0.050434782608695654,0.10956521739130434,0.15118577075098813,0.1565217391304348,0.4547826086956522,0.56,0.5547826086956522,0.44956521739130434,0.2591304347826087,-0.04782608695652174,0.20521739130434782
Met Office-GloSea6.2,lead2,0.24,0.22086956521739132,0.0533596837944664,0.24956521739130436,0.31565217391304345,0.40347826086956523,0.4217391304347826,0.5243478260869565,0.4295652173913043,0.2252173913043478,-0.009565217391304347,0.4408695652173913
Met Office-GloSea6.2,lead1,0.2643478260869565,0.04743083003952569,0.36,0.2165217391304348,0.04608695652173913,0.6165217391304347,0.5434782608695652,0.5017391304347826,0.23304347826086957,-0.00782608695652174,-0.1391304347826087,0.49043478260869566
DWD-GCFS2.1,lead3,0.32869565217391306,0.24695652173913044,0.12956521739130436,0.3026086956521739,0.10173913043478261,0.22086956521739132,0.5939130434782609,0.6634782608695652,0.04434782608695652,-0.2617391304347826,0.28,0.23478260869565218
DWD-GCFS2.1,lead2,0.44,0.13652173913043478,0.1808695652173913,0.38782608695652177,0.08260869565217391,0.40695652173913044,0.6408695652173914,0.43478260869565216,-0.008695652173913044,0.20782608695652174,-0.04521739130434783,0.36695652173913046
DWD-GCFS2.1,lead1,0.16608695652173913,0.26956521739130435,0.39565217391304347,0.20695652173913043,0.15391304347826087,0.3652173913043478,0.5660869565217391,0.5573913043478261,0.06,0.07217391304347825,0.04521739130434783,0.4765217391304348
CMCC-SPSv3.5,lead3,0.26956521739130435,0.11043478260869566,0.05478260869565217,0.22956521739130434,0.3808695652173913,0.34608695652173915,0.5156521739130435,0.5591304347826087,0.42086956521739133,0.05478260869565217,-0.16,0.07478260869565218
CMCC-SPSv3.5,lead2,0.15217391304347827,0.06869565217391305,0.09043478260869565,0.4156521739130435,0.2782608695652174,0.6260869565217392,0.5530434782608695,0.6434782608695652,0.25217391304347825,0.14695652173913043,-0.17652173913043478,0.3869565217391304
CMCC-SPSv3.5,lead1,0.18695652173913044,0.12608695652173912,0.2634782608695652,0.2817391304347826,0.46260869565217394,0.3565217391304348,0.6095652173913043,0.6043478260869565,0.18608695652173912,-0.013043478260869565,0.0782608695652174,0.31130434782608696
NCEP-CFSv2,lead3,0.21565217391304348,0.08,0.00782608695652174,0.28956521739130436,0.12782608695652173,0.5113043478260869,0.4965217391304348,0.7895652173913044,0.21739130434782608,0.288695652173913,0.04608695652173913,0.5852173913043478
NCEP-CFSv2,lead2,0.06434782608695652,0.19130434782608696,0.12695652173913044,0.18,0.03391304347826087,0.35391304347826086,0.5243478260869565,0.7486956521739131,0.34347826086956523,0.10260869565217391,0.41391304347826086,0.29478260869565215
NCEP-CFSv2,lead1,0.27217391304347827,0.2234782608695652,0.3191304347826087,0.1391304347826087,-0.11304347826086956,0.3947826086956522,0.5182608695652174,0.5660869565217391,0.26956521739130435,0.15478260869565216,0.13217391304347825,0.21304347826086956
JMA-CPS3,lead3,0.391304347826087,0.10260869565217391,0.24695652173913044,-0.15304347826086956,-0.16869565217391305,0.3973913043478261,0.5313043478260869,0.4834782608695652,0.5304347826086957,-0.12347826086956522,0.059130434782608696,-0.19043478260869565
JMA-CPS3,lead2,0.16608695652173913,0.21043478260869566,0.06086956521739131,0.0052173913043478265,0.22260869565217392,0.18782608695652173,0.6295652173913043,0.6695652173913044,0.03304347826086956,0.1617391304347826,-0.059130434782608696,0.4026086956521739
JMA-CPS3,lead1,0.3017391304347826,0.08608695652173913,0.44956521739130434,0.14347826086956522,0.16608695652173913,0.2756521739130435,0.49391304347826087,0.5095652173913043,0.24782608695652175,-0.17565217391304347,0.09391304347826086,0.20173913043478262
ECCC-GEM5-NEMO,lead3,0.11130434782608696,0.07652173913043478,0.3173913043478261,0.10869565217391304,0.5104347826086957,0.27652173913043476,0.5973913043478261,0.4547826086956522,0.40695652173913044,0.0808695652173913,0.06086956521739131,0.11391304347826087
ECCC-GEM5-NEMO,lead2,0.3130434782608696,0.33043478260869563,0.3452173913043478,0.6034782608695652,-0.3339130434782609,0.41043478260869565,0.5330434782608696,0.4469565217391304,-0.04521739130434783,-0.03826086956521739,-0.06,0.1808695652173913
ECCC-GEM5-NEMO,lead1,0.35478260869565215,0.3521739130434783,0.36695652173913046,-0.042608695652173914,0.4443478260869565,0.0791304347826087,0.6730434782608695,0.44608695652173913,-0.028695652173913042,-0.22608695652173913,0.0408695652173913,0.16608695652173913
