,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,May,0.12347826086956522,0.021739130434782608,0.15217391304347827,0.11565217391304349,0.27304347826086955
ECMWF-SEAS5.1,June,0.1443478260869565,0.16,-0.0052173913043478265,0.5591304347826087,-0.2165217391304348
ECMWF-SEAS5.1,July,0.28608695652173916,0.44173913043478263,-0.10695652173913044,0.26,0.01652173913043478
Météo France-System 8,May,0.02434782608695652,-0.08260869565217391,0.13826086956521738,0.4991304347826087,-0.08434782608695653
Météo France-System 8,June,-0.18782608695652173,0.20869565217391303,0.26608695652173914,0.4991304347826087,0.19304347826086957
Météo France-System 8,July,0.008695652173913044,0.33652173913043476,0.12956521739130436,0.48695652173913045,-0.10173913043478261
Met Office-GloSea6.2,May,0.036521739130434785,-0.042608695652173914,-0.0808695652173913,0.44,-0.12
Met Office-GloSea6.2,June,0.14,0.10782608695652174,0.12434782608695652,0.34695652173913044,-0.06869565217391305
Met Office-GloSea6.2,July,-0.15043478260869564,-0.09391304347826086,-0.2373913043478261,0.45217391304347826,0.06869565217391305
DWD-GCFS2.1,May,-0.1634782608695652,-0.16521739130434782,0.14608695652173914,0.5060869565217392,-0.3173913043478261
DWD-GCFS2.1,June,0.05391304347826087,-0.04782608695652174,0.034782608695652174,0.1791304347826087,0.019130434782608695
DWD-GCFS2.1,July,0.4443478260869565,0.36869565217391304,0.19478260869565217,0.31478260869565217,0.1808695652173913
CMCC-SPSv3.5,May,0.02,0.07478260869565218,0.24,0.41130434782608694,0.12956521739130436
CMCC-SPSv3.5,June,0.0782608695652174,0.18347826086956523,0.30521739130434783,0.34,0.11391304347826087
CMCC-SPSv3.5,July,-0.034782608695652174,0.3373913043478261,0.050434782608695654,0.2991304347826087,0.23478260869565218
NCEP-CFSv2,May,0.15391304347826087,0.17217391304347826,0.1973913043478261,0.528695652173913,0.2234782608695652
NCEP-CFSv2,June,0.2773913043478261,0.10956521739130434,0.30521739130434783,0.5269565217391304,0.13217391304347825
NCEP-CFSv2,July,0.11739130434782609,0.24782608695652175,0.12956521739130436,0.6417391304347826,0.13043478260869565
JMA-CPS3,May,0.14956521739130435,-0.09826086956521739,0.12782608695652173,0.11478260869565217,-0.020869565217391306
JMA-CPS3,June,0.2530434782608696,0.035652173913043476,0.035652173913043476,0.5104347826086957,-0.26
JMA-CPS3,July,-0.1782608695652174,-0.15043478260869564,0.025217391304347827,0.08,0.036521739130434785
ECCC-GEM5-NEMO,May,0.12521739130434784,0.24,0.03391304347826087,0.24956521739130436,0.12434782608695652
ECCC-GEM5-NEMO,June,0.288695652173913,0.27391304347826084,0.025217391304347827,0.1817391304347826,0.13391304347826086
ECCC-GEM5-NEMO,July,0.20695652173913043,0.2852173913043478,-0.14521739130434783,0.08695652173913043,-0.1956521739130435
