,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,November,0.3243478260869565,0.2956521739130435,0.33043478260869563,-0.01391304347826087,0.2669565217391304
ECMWF-SEAS5.1,December,0.10956521739130434,0.08956521739130435,0.577391304347826,-0.11043478260869566,0.18956521739130436
ECMWF-SEAS5.1,January,0.39652173913043476,0.21304347826086956,0.22260869565217392,0.2165217391304348,0.22695652173913045
Météo France-System 8,November,0.49391304347826087,0.3426086956521739,-0.026956521739130435,0.030434782608695653,0.17130434782608694
Météo France-System 8,December,0.17652173913043478,0.24521739130434783,-0.33217391304347826,-0.271304347826087,0.31130434782608696
Météo France-System 8,January,0.12869565217391304,0.2643478260869565,0.4295652173913043,-0.15565217391304348,-0.03217391304347826
Met Office-GloSea6.2,November,0.07130434782608695,0.0791304347826087,-0.12521739130434784,-0.08521739130434783,0.14347826086956522
Met Office-GloSea6.2,December,0.2808695652173913,0.22782608695652173,-0.00608695652173913,-0.18695652173913044,-0.04521739130434783
Met Office-GloSea6.2,January,0.08498023715415019,0.06818181818181818,0.13339920948616601,0.11857707509881422,0.15118577075098813
DWD-GCFS2.1,November,0.26,0.26869565217391306,-0.04695652173913043,-0.12695652173913044,0.13043478260869565
DWD-GCFS2.1,December,0.06,0.13130434782608696,0.2591304347826087,-0.3008695652173913,0.07739130434782608
DWD-GCFS2.1,January,0.34,0.271304347826087,0.2843478260869565,0.10434782608695652,0.19130434782608696
CMCC-SPSv3.5,November,0.10695652173913044,0.10956521739130434,-0.18347826086956523,-0.12,0.18956521739130436
CMCC-SPSv3.5,December,0.10869565217391304,0.0791304347826087,0.20173913043478262,-0.0791304347826087,-0.020869565217391306
CMCC-SPSv3.5,January,0.10608695652173913,0.08695652173913043,0.3,0.09652173913043478,0.21565217391304348
NCEP-CFSv2,November,0.1408695652173913,0.11565217391304349,-0.29304347826086957,-0.1426086956521739,0.026956521739130435
NCEP-CFSv2,December,0.32869565217391306,0.30434782608695654,-0.017391304347826087,0.11130434782608696,0.011304347826086957
NCEP-CFSv2,January,0.19130434782608696,0.1791304347826087,0.22869565217391305,0.07043478260869565,0.07652173913043478
JMA-CPS3,November,0.11739130434782609,0.04173913043478261,0.40347826086956523,0.10173913043478261,0.16695652173913045
JMA-CPS3,December,0.19043478260869565,0.17304347826086958,0.23565217391304347,-0.13217391304347825,0.34695652173913044
JMA-CPS3,January,0.20521739130434782,-0.0008695652173913044,0.1591304347826087,-0.07739130434782608,-0.009565217391304347
ECCC-GEM5-NEMO,November,0.15391304347826087,0.09826086956521739,0.32521739130434785,0.5417391304347826,0.03739130434782609
ECCC-GEM5-NEMO,December,0.2643478260869565,0.331304347826087,0.20695652173913043,-0.4895652173913044,0.24434782608695652
ECCC-GEM5-NEMO,January,0.25043478260869567,0.3660869565217391,-0.01391304347826087,0.03217391304347826,0.3173913043478261
