,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,April,0.5417391304347826,0.1808695652173913,0.1408695652173913,0.5165217391304348,0.21304347826086956
ECMWF-SEAS5.1,May,0.5339130434782609,0.18695652173913044,-0.011304347826086957,0.331304347826087,0.31217391304347825
ECMWF-SEAS5.1,June,0.43217391304347824,-0.07478260869565218,-0.09565217391304348,0.5034782608695653,-0.20347826086956522
Météo France-System 8,April,0.2991304347826087,0.14173913043478262,-0.02,0.48695652173913045,0.19478260869565217
Météo France-System 8,May,0.2530434782608696,0.18869565217391304,0.24869565217391304,0.49391304347826087,-0.1356521739130435
Météo France-System 8,June,0.4373913043478261,-0.06695652173913043,-0.11391304347826087,0.4408695652173913,0.27652173913043476
Met Office-GloSea6.2,April,0.3617391304347826,-0.12,0.13217391304347825,0.4356521739130435,-0.17565217391304347
Met Office-GloSea6.2,May,0.32956521739130434,0.0,-0.03217391304347826,0.6878260869565217,-0.0026086956521739132
Met Office-GloSea6.2,June,0.3834782608695652,0.14695652173913043,0.03304347826086956,0.6208695652173913,-0.05565217391304348
DWD-GCFS2.1,April,0.548695652173913,-0.1356521739130435,0.08260869565217391,0.3582608695652174,-0.2678260869565217
DWD-GCFS2.1,May,0.3947826086956522,-0.022608695652173914,0.05217391304347826,0.551304347826087,0.05478260869565217
DWD-GCFS2.1,June,0.4434782608695652,0.06260869565217392,0.09043478260869565,0.4330434782608696,0.05652173913043478
CMCC-SPSv3.5,April,0.4191304347826087,0.22260869565217392,0.26956521739130435,0.5043478260869565,0.10173913043478261
CMCC-SPSv3.5,May,0.5991304347826087,-0.02782608695652174,0.11217391304347826,0.44782608695652176,0.24869565217391304
CMCC-SPSv3.5,June,0.5391304347826087,0.07739130434782608,0.0026086956521739132,0.4339130434782609,0.21217391304347827
NCEP-CFSv2,April,0.14608695652173914,0.11217391304347826,0.16869565217391305,0.5565217391304348,-0.22434782608695653
NCEP-CFSv2,May,0.19130434782608696,-0.019130434782608695,0.18695652173913044,0.7234782608695652,0.028695652173913042
NCEP-CFSv2,June,0.3165217391304348,-0.08260869565217391,0.04695652173913043,0.768695652173913,0.2217391304347826
JMA-CPS3,April,0.33304347826086955,-0.07130434782608695,0.1373913043478261,0.4852173913043478,-0.19826086956521738
JMA-CPS3,May,0.27304347826086955,0.08782608695652173,-0.16782608695652174,0.30695652173913046,-0.1426086956521739
JMA-CPS3,June,0.39652173913043476,0.3791304347826087,0.03739130434782609,0.5269565217391304,-0.30695652173913046
ECCC-GEM5-NEMO,April,0.35391304347826086,-0.2782608695652174,-0.17217391304347826,0.5565217391304348,0.28956521739130436
ECCC-GEM5-NEMO,May,0.4252173913043478,-0.004347826086956522,0.028695652173913042,0.4295652173913043,0.2843478260869565
ECCC-GEM5-NEMO,June,0.46347826086956523,0.028695652173913042,0.20434782608695654,0.5269565217391304,0.21391304347826087
