,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,October,0.03217391304347826,0.05478260869565217,0.15478260869565216,0.28782608695652173,0.33652173913043476
ECMWF-SEAS5.1,November,0.22608695652173913,0.21565217391304348,0.1617391304347826,-0.04782608695652174,0.10086956521739131
ECMWF-SEAS5.1,December,0.10869565217391304,0.03217391304347826,0.6434782608695652,0.04173913043478261,0.3026086956521739
Météo France-System 8,October,0.2182608695652174,0.3626086956521739,-0.023478260869565216,0.05565217391304348,0.13652173913043478
Météo France-System 8,November,0.34,0.3773913043478261,-0.22869565217391305,0.21565217391304348,0.2782608695652174
Météo France-System 8,December,0.20173913043478262,0.23043478260869565,0.07652173913043478,-0.1356521739130435,0.2982608695652174
Met Office-GloSea6.2,October,0.1808695652173913,0.16,-0.051304347826086956,0.2634782608695652,0.648695652173913
Met Office-GloSea6.2,November,0.19043478260869565,0.2539130434782609,-0.0782608695652174,0.20695652173913043,0.5747826086956521
Met Office-GloSea6.2,December,0.22260869565217392,0.24,-0.13652173913043478,0.12695652173913044,0.18347826086956523
DWD-GCFS2.1,October,0.2530434782608696,0.30695652173913046,0.24347826086956523,0.1956521739130435,0.02782608695652174
DWD-GCFS2.1,November,0.4026086956521739,0.4026086956521739,0.035652173913043476,0.4217391304347826,0.35304347826086957
DWD-GCFS2.1,December,0.1817391304347826,0.1373913043478261,0.4426086956521739,0.06521739130434782,0.19826086956521738
CMCC-SPSv3.5,October,0.20695652173913043,0.18608695652173912,-0.01652173913043478,0.0791304347826087,0.5078260869565218
CMCC-SPSv3.5,November,0.05391304347826087,0.11565217391304349,-0.3243478260869565,-0.10086956521739131,0.2582608695652174
CMCC-SPSv3.5,December,0.20869565217391303,0.14782608695652175,0.29739130434782607,0.2391304347826087,0.18347826086956523
NCEP-CFSv2,October,0.23565217391304347,0.2591304347826087,-0.11565217391304349,-0.1443478260869565,0.3391304347826087
NCEP-CFSv2,November,0.06260869565217392,0.11043478260869566,-0.30782608695652175,0.36,0.2165217391304348
NCEP-CFSv2,December,0.35739130434782607,0.2756521739130435,0.014782608695652174,0.20608695652173914,0.19130434782608696
JMA-CPS3,October,0.27304347826086955,0.32608695652173914,0.3773913043478261,0.2182608695652174,0.021739130434782608
JMA-CPS3,November,0.020869565217391306,0.08347826086956522,0.11304347826086956,0.2852173913043478,0.3347826086956522
JMA-CPS3,December,0.3773913043478261,0.23217391304347826,0.21217391304347827,0.23478260869565218,0.4052173913043478
ECCC-GEM5-NEMO,October,0.07565217391304348,0.10521739130434783,0.13130434782608696,0.08434782608695653,0.49478260869565216
ECCC-GEM5-NEMO,November,0.09391304347826086,0.2982608695652174,-0.030434782608695653,0.29391304347826086,0.05652173913043478
ECCC-GEM5-NEMO,December,0.4078260869565217,0.3582608695652174,0.25565217391304346,-0.08869565217391304,0.39565217391304347
