,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,February,0.48,0.3060869565217391,0.06521739130434782,0.5843478260869566,-0.3373913043478261
ECMWF-SEAS5.1,March,0.5321739130434783,0.19304347826086957,0.05478260869565217,0.5591304347826087,0.09478260869565218
ECMWF-SEAS5.1,April,0.45565217391304347,0.3382608695652174,-0.08956521739130435,0.5634782608695652,-0.19478260869565217
Météo France-System 8,February,0.10347826086956521,0.042608695652173914,0.07739130434782608,0.6,-0.19391304347826088
Météo France-System 8,March,0.11826086956521739,0.0052173913043478265,0.3939130434782609,0.6991304347826087,-0.1617391304347826
Météo France-System 8,April,0.37478260869565216,0.24347826086956523,0.2391304347826087,0.6956521739130435,-0.19304347826086957
Met Office-GloSea6.2,February,0.4356521739130435,0.35391304347826086,0.06869565217391305,0.5973913043478261,0.02
Met Office-GloSea6.2,March,0.24695652173913044,0.2921739130434783,0.02434782608695652,0.5608695652173913,-0.36695652173913046
Met Office-GloSea6.2,April,0.45217391304347826,0.3408695652173913,0.22608695652173913,0.5669565217391305,-0.11565217391304349
DWD-GCFS2.1,February,0.16521739130434782,0.050434782608695654,0.3165217391304348,0.3782608695652174,-0.10347826086956521
DWD-GCFS2.1,March,0.2782608695652174,0.19826086956521738,-0.023478260869565216,0.5347826086956522,-0.24521739130434783
DWD-GCFS2.1,April,0.3095652173913043,0.17130434782608694,0.23652173913043478,0.49043478260869566,-0.24608695652173912
CMCC-SPSv3.5,February,0.2747826086956522,0.39217391304347826,0.09043478260869565,0.828695652173913,-0.10608695652173913
CMCC-SPSv3.5,March,0.5017391304347826,0.32608695652173914,0.2234782608695652,0.731304347826087,0.04
CMCC-SPSv3.5,April,0.6339130434782608,0.6452173913043479,0.30869565217391304,0.6330434782608696,-0.18521739130434783
NCEP-CFSv2,February,0.42869565217391303,0.14521739130434783,0.15478260869565216,0.5852173913043478,-0.30869565217391304
NCEP-CFSv2,March,0.31217391304347825,0.009565217391304347,-0.2634782608695652,0.5260869565217391,-0.21043478260869566
NCEP-CFSv2,April,0.24434782608695652,-0.08956521739130435,0.27652173913043476,0.4026086956521739,-0.1
JMA-CPS3,February,0.06695652173913043,-0.04434782608695652,-0.019130434782608695,0.40956521739130436,-0.021739130434782608
JMA-CPS3,March,0.3417391304347826,0.20608695652173914,-0.20521739130434782,0.41130434782608694,0.23565217391304347
JMA-CPS3,April,0.2391304347826087,0.2539130434782609,-0.06260869565217392,0.46260869565217394,-0.23043478260869565
ECCC-GEM5-NEMO,February,0.4365217391304348,0.568695652173913,0.2808695652173913,0.3034782608695652,0.33652173913043476
ECCC-GEM5-NEMO,March,-0.00608695652173913,-0.3347826086956522,0.05304347826086957,0.10956521739130434,-0.2991304347826087
ECCC-GEM5-NEMO,April,0.4234782608695652,0.18521739130434783,0.17478260869565218,0.5330434782608696,-0.025217391304347827
