,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,August,0.20956521739130435,0.23478260869565218,0.27043478260869563,0.0026086956521739132,-0.19478260869565217
ECMWF-SEAS5.1,September,0.09391304347826086,0.0791304347826087,0.6356521739130435,-0.008695652173913044,-0.05391304347826087
ECMWF-SEAS5.1,October,-0.01217391304347826,-0.12434782608695652,0.5826086956521739,-0.04434782608695652,0.01217391304347826
Météo France-System 8,August,0.1443478260869565,-0.11565217391304349,0.06347826086956522,0.271304347826087,0.23043478260869565
Météo France-System 8,September,-0.06695652173913043,-0.1782608695652174,0.48695652173913045,-0.1356521739130435,0.1591304347826087
Météo France-System 8,October,-0.13304347826086957,-0.058260869565217394,0.21217391304347827,-0.13130434782608696,0.06173913043478261
Met Office-GloSea6.2,August,-0.01217391304347826,0.042608695652173914,-0.025217391304347827,-0.06173913043478261,0.10869565217391304
Met Office-GloSea6.2,September,-0.04608695652173913,-0.08,0.04521739130434783,-0.25478260869565217,0.3782608695652174
Met Office-GloSea6.2,October,-0.11652173913043479,-0.11652173913043479,0.3652173913043478,0.026956521739130435,0.19043478260869565
DWD-GCFS2.1,August,0.3739130434782609,0.2530434782608696,0.2573913043478261,0.21304347826086956,0.09217391304347826
DWD-GCFS2.1,September,0.11826086956521739,0.06869565217391305,0.10173913043478261,-0.09130434782608696,0.2643478260869565
DWD-GCFS2.1,October,0.22,0.10086956521739131,0.20956521739130435,-0.24782608695652175,-0.05391304347826087
CMCC-SPSv3.5,August,0.14608695652173914,-0.09739130434782609,0.2643478260869565,0.13043478260869565,0.11391304347826087
CMCC-SPSv3.5,September,-0.10869565217391304,-0.20608695652173914,0.38,0.22260869565217392,-0.06434782608695652
CMCC-SPSv3.5,October,0.042608695652173914,0.14608695652173914,0.4121739130434783,-0.01565217391304348,0.04434782608695652
NCEP-CFSv2,August,0.07130434782608695,-0.04782608695652174,0.29043478260869565,0.32521739130434785,0.22608695652173913
NCEP-CFSv2,September,0.4121739130434783,0.3060869565217391,0.4895652173913044,-0.23391304347826086,0.16434782608695653
NCEP-CFSv2,October,0.271304347826087,0.12521739130434784,0.5043478260869565,0.42086956521739133,0.4408695652173913
JMA-CPS3,August,0.06782608695652174,-0.01565217391304348,0.22869565217391305,-0.06347826086956522,-0.12347826086956522
JMA-CPS3,September,-0.04521739130434783,-0.07478260869565218,0.3617391304347826,0.16695652173913045,0.13304347826086957
JMA-CPS3,October,0.06869565217391305,-0.034782608695652174,0.1973913043478261,-0.07304347826086957,-0.23130434782608697
ECCC-GEM5-NEMO,August,0.2,0.08956521739130435,0.2530434782608696,-0.02608695652173913,0.10869565217391304
ECCC-GEM5-NEMO,September,-0.11565217391304349,-0.042608695652173914,0.029565217391304348,-0.20347826086956522,0.22086956521739132
ECCC-GEM5-NEMO,October,0.14782608695652175,0.11130434782608696,0.02,0.2826086956521739,0.21130434782608695
