,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,July,-0.043478260869565216,0.29304347826086957,0.3182608695652174,-0.3243478260869565,0.0808695652173913
ECMWF-SEAS5.1,August,-0.06956521739130435,-0.04695652173913043,0.20521739130434782,-0.06869565217391305,0.026956521739130435
ECMWF-SEAS5.1,September,-0.1391304347826087,-0.022608695652173914,0.5269565217391304,0.11217391304347826,-0.04173913043478261
Météo France-System 8,July,-0.18956521739130436,-0.12347826086956522,-0.0034782608695652175,0.042608695652173914,0.4226086956521739
Météo France-System 8,August,0.22434782608695653,0.25043478260869567,0.07130434782608695,0.006956521739130435,0.4008695652173913
Météo France-System 8,September,0.08608695652173913,0.022608695652173914,0.5252173913043479,0.1408695652173913,0.4365217391304348
Met Office-GloSea6.2,July,-0.13652173913043478,0.02,0.3382608695652174,0.12260869565217392,-0.03391304347826087
Met Office-GloSea6.2,August,-0.042608695652173914,0.12434782608695652,0.004347826086956522,-0.28,-0.06260869565217392
Met Office-GloSea6.2,September,-0.10086956521739131,-0.018260869565217393,0.08260869565217391,-0.1426086956521739,0.2756521739130435
DWD-GCFS2.1,July,0.3243478260869565,0.2747826086956522,-0.03130434782608696,-0.3130434782608696,0.17304347826086958
DWD-GCFS2.1,August,0.43478260869565216,0.14347826086956522,0.10956521739130434,-0.06173913043478261,0.043478260869565216
DWD-GCFS2.1,September,0.11217391304347826,0.05391304347826087,0.26260869565217393,-0.2756521739130435,0.00782608695652174
CMCC-SPSv3.5,July,0.21043478260869566,0.17043478260869566,0.2373913043478261,0.006956521739130435,-0.06260869565217392
CMCC-SPSv3.5,August,0.017391304347826087,0.06086956521739131,0.09652173913043478,0.18,-0.10956521739130434
CMCC-SPSv3.5,September,-0.06608695652173913,-0.08869565217391304,0.16434782608695653,0.08956521739130435,-0.018260869565217393
NCEP-CFSv2,July,0.02,-0.1808695652173913,0.4182608695652174,0.30434782608695654,-0.00782608695652174
NCEP-CFSv2,August,-0.04434782608695652,-0.02782608695652174,0.24521739130434783,0.4391304347826087,0.271304347826087
NCEP-CFSv2,September,0.00608695652173913,0.05304347826086957,0.3973913043478261,0.06695652173913043,0.018260869565217393
JMA-CPS3,July,-0.12347826086956522,-0.19130434782608696,0.23043478260869565,0.10173913043478261,0.1582608695652174
JMA-CPS3,August,0.07304347826086957,0.2026086956521739,0.10521739130434783,-0.19826086956521738,0.026956521739130435
JMA-CPS3,September,-0.24695652173913044,-0.24695652173913044,0.31043478260869567,0.1582608695652174,0.026956521739130435
ECCC-GEM5-NEMO,July,-0.15478260869565216,-0.12956521739130436,0.4008695652173913,0.17478260869565218,0.09565217391304348
ECCC-GEM5-NEMO,August,-0.0391304347826087,-0.07043478260869565,0.17130434782608694,-0.21565217391304348,0.1391304347826087
ECCC-GEM5-NEMO,September,-0.24956521739130436,-0.22608695652173913,0.058260869565217394,-0.2417391304347826,0.26521739130434785
