,,NAO (box),NAO (box),NAO (box),NAO (eof),NAO (eof),NAO (eof),EA,EA,EA,EAWR,EAWR,EAWR,SCA,SCA,SCA
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,May,0.7734375,0.46484375,0.515625,0.5859375,0.13671875,0.3828125,0.6640625,0.65234375,0.54296875,0.52734375,0.51171875,0.59765625,0.5390625,0.5546875,0.5078125
ECMWF-SEAS5.1,June,0.6171875,0.5234375,0.3671875,0.6796875,0.68359375,0.58984375,0.375,0.3671875,0.43359375,0.58203125,0.3359375,0.65234375,0.4609375,0.69140625,0.4375
ECMWF-SEAS5.1,July,0.67578125,0.54296875,0.5546875,0.73046875,0.3984375,0.62109375,0.3671875,0.46875,0.3828125,0.69921875,0.58203125,0.46484375,0.50390625,0.7265625,0.640625
Météo France-System 8,May,0.37109375,0.23828125,0.44140625,0.59375,0.578125,0.24609375,0.65625,0.74609375,0.5078125,0.7265625,0.3671875,0.54296875,0.3984375,0.6015625,0.46484375
Météo France-System 8,June,0.4375,0.4140625,0.31640625,0.6484375,0.6484375,0.6328125,0.546875,0.4296875,0.453125,0.67578125,0.24609375,0.50390625,0.59375,0.55078125,0.5859375
Météo France-System 8,July,0.43359375,0.44140625,0.5078125,0.59375,0.40234375,0.49609375,0.62109375,0.55078125,0.54296875,0.66015625,0.28125,0.60546875,0.41015625,0.359375,0.5625
Met Office-GloSea6.2,May,0.60546875,0.55078125,0.421875,0.6640625,0.54296875,0.20703125,0.55078125,0.390625,0.453125,0.7890625,0.765625,0.7578125,0.35546875,0.53125,0.5625
Met Office-GloSea6.2,June,0.54296875,0.43359375,0.4296875,0.4140625,0.42578125,0.4296875,0.44140625,0.1171875,0.359375,0.66796875,0.65234375,0.5625,0.46484375,0.46484375,0.44921875
Met Office-GloSea6.2,July,0.546875,0.5625,0.32421875,0.55078125,0.59765625,0.3515625,0.4765625,0.59375,0.328125,0.84375,0.41015625,0.625,0.45703125,0.515625,0.484375
DWD-GCFS2.1,May,0.45703125,0.11328125,0.1875,0.55859375,0.38671875,0.32421875,0.59375,0.59375,0.75,0.7578125,0.6953125,0.75,0.22265625,0.5,0.43359375
DWD-GCFS2.1,June,0.65625,0.5,0.3515625,0.53125,0.5234375,0.3671875,0.55859375,0.33203125,0.39453125,0.5078125,0.4609375,0.66796875,0.390625,0.67578125,0.56640625
DWD-GCFS2.1,July,0.7734375,0.43359375,0.6015625,0.65625,0.5859375,0.5703125,0.5859375,0.37109375,0.50390625,0.6328125,0.4609375,0.58984375,0.48046875,0.1875,0.54296875
CMCC-SPSv3.5,May,0.57421875,0.4609375,0.4140625,0.51953125,0.453125,0.44921875,0.55078125,0.421875,0.640625,0.69921875,0.63671875,0.5703125,0.671875,0.8125,0.65625
CMCC-SPSv3.5,June,0.53515625,0.35546875,0.5234375,0.55078125,0.55078125,0.52734375,0.71484375,0.58984375,0.59375,0.52734375,0.4609375,0.49609375,0.5390625,0.4140625,0.68359375
CMCC-SPSv3.5,July,0.46875,0.44921875,0.328125,0.79296875,0.8359375,0.68359375,0.48828125,0.5625,0.44140625,0.66796875,0.6171875,0.53125,0.53515625,0.37109375,0.66796875
NCEP-CFSv2,May,0.46875,0.47265625,0.51953125,0.78515625,0.3203125,0.2421875,0.671875,0.6171875,0.703125,0.671875,0.57421875,0.7890625,0.640625,0.4375,0.44921875
NCEP-CFSv2,June,0.625,0.37890625,0.4375,0.703125,0.4921875,0.42578125,0.59765625,0.5703125,0.67578125,0.6328125,0.27734375,0.5625,0.5625,0.4453125,0.4921875
NCEP-CFSv2,July,0.546875,0.6015625,0.48828125,0.69921875,0.546875,0.52734375,0.44140625,0.35546875,0.55859375,0.890625,0.453125,0.71484375,0.3984375,0.453125,0.44921875
JMA-CPS3,May,0.5859375,0.46484375,0.43359375,0.57421875,0.453125,0.37890625,0.63671875,0.546875,0.578125,0.48046875,0.34765625,0.46484375,0.3359375,0.67578125,0.53125
JMA-CPS3,June,0.71875,0.51171875,0.48046875,0.64453125,0.484375,0.44921875,0.4765625,0.484375,0.53125,0.859375,0.51171875,0.48046875,0.3125,0.56640625,0.58984375
JMA-CPS3,July,0.45703125,0.58203125,0.109375,0.4921875,0.54296875,0.3046875,0.48046875,0.48046875,0.5546875,0.5390625,0.5,0.53125,0.40625,0.5859375,0.60546875
ECCC-GEM5-NEMO,May,0.609375,0.55078125,0.31640625,0.55078125,0.61328125,0.57421875,0.3828125,0.55859375,0.578125,0.578125,0.515625,0.5703125,0.38671875,0.4453125,0.53515625
ECCC-GEM5-NEMO,June,0.7265625,0.65625,0.5546875,0.56640625,0.5,0.63671875,0.52734375,0.39453125,0.51171875,0.609375,0.30859375,0.48828125,0.63671875,0.35546875,0.484375
ECCC-GEM5-NEMO,July,0.54296875,0.24609375,0.5859375,0.76953125,0.578125,0.55078125,0.3671875,0.375,0.37109375,0.578125,0.46875,0.51953125,0.47265625,0.48828125,0.4453125
