,,NAO (box),NAO (box),NAO (box),NAO (eof),NAO (eof),NAO (eof),EA,EA,EA,EAWR,EAWR,EAWR,SCA,SCA,SCA
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,November,0.609375,0.3984375,0.6484375,0.5859375,0.64453125,0.71484375,0.74609375,0.578125,0.6484375,0.484375,0.5546875,0.58984375,0.56640625,0.55859375,0.53125
ECMWF-SEAS5.1,December,0.4140625,0.578125,0.5859375,0.5390625,0.4765625,0.546875,0.875,0.52734375,0.75,0.24609375,0.6328125,0.62109375,0.53125,0.45703125,0.50390625
ECMWF-SEAS5.1,January,0.62109375,0.55859375,0.65234375,0.5625,0.41015625,0.64453125,0.62890625,0.42578125,0.4921875,0.578125,0.4609375,0.58203125,0.671875,0.671875,0.5546875
Météo France-System 8,November,0.69140625,0.42578125,0.5,0.63671875,0.3125,0.5703125,0.49609375,0.42578125,0.39453125,0.27734375,0.44140625,0.5703125,0.60546875,0.55859375,0.5078125
Météo France-System 8,December,0.48828125,0.66796875,0.671875,0.49609375,0.54296875,0.59765625,0.30078125,0.5,0.38671875,0.34375,0.4921875,0.3203125,0.58984375,0.66796875,0.65625
Météo France-System 8,January,0.45703125,0.578125,0.55859375,0.49609375,0.640625,0.64453125,0.70703125,0.546875,0.640625,0.34375,0.5078125,0.41015625,0.5078125,0.58203125,0.4375
Met Office-GloSea6.2,November,0.52734375,0.44921875,0.609375,0.484375,0.51953125,0.65625,0.46484375,0.31640625,0.47265625,0.3984375,0.55078125,0.41796875,0.51953125,0.4609375,0.53125
Met Office-GloSea6.2,December,0.5703125,0.29296875,0.640625,0.52734375,0.30078125,0.69140625,0.67578125,0.47265625,0.453125,0.2421875,0.421875,0.3984375,0.48046875,0.609375,0.67578125
Met Office-GloSea6.2,January,0.4708333333333333,0.5089285714285714,0.42499999999999993,0.4833333333333334,0.39732142857142855,0.5083333333333333,0.5499999999999999,0.41964285714285704,0.5375,0.45,0.5312499999999999,0.6916666666666667,0.5916666666666667,0.7008928571428571,0.5458333333333334
DWD-GCFS2.1,November,0.53125,0.43359375,0.65234375,0.58984375,0.5546875,0.65625,0.44921875,0.4765625,0.5390625,0.421875,0.5234375,0.31640625,0.62890625,0.55078125,0.5234375
DWD-GCFS2.1,December,0.44140625,0.50390625,0.62890625,0.44140625,0.80859375,0.63671875,0.6953125,0.54296875,0.44921875,0.328125,0.47265625,0.453125,0.58984375,0.48828125,0.46875
DWD-GCFS2.1,January,0.5390625,0.5546875,0.59375,0.58203125,0.71875,0.6484375,0.79296875,0.5625,0.5390625,0.359375,0.60546875,0.61328125,0.578125,0.51171875,0.4765625
CMCC-SPSv3.5,November,0.34765625,0.3984375,0.62109375,0.41015625,0.51953125,0.6328125,0.3828125,0.46875,0.43359375,0.31640625,0.69921875,0.5859375,0.5703125,0.36328125,0.5625
CMCC-SPSv3.5,December,0.41796875,0.26171875,0.546875,0.37890625,0.1640625,0.51953125,0.48828125,0.67578125,0.62890625,0.4296875,0.60546875,0.5390625,0.578125,0.59765625,0.4296875
CMCC-SPSv3.5,January,0.4140625,0.625,0.55078125,0.3984375,0.55078125,0.66796875,0.6484375,0.46484375,0.64453125,0.36328125,0.42578125,0.5625,0.52734375,0.53125,0.46875
NCEP-CFSv2,November,0.421875,0.421875,0.53515625,0.47265625,0.49609375,0.5625,0.40234375,0.50390625,0.39453125,0.37890625,0.46484375,0.5078125,0.4609375,0.47265625,0.5078125
NCEP-CFSv2,December,0.34375,0.484375,0.77734375,0.4375,0.4609375,0.71875,0.40625,0.453125,0.62109375,0.58984375,0.60546875,0.62109375,0.4453125,0.4609375,0.390625
NCEP-CFSv2,January,0.41015625,0.37890625,0.625,0.46484375,0.52734375,0.74609375,0.609375,0.578125,0.75,0.4453125,0.6640625,0.75390625,0.44921875,0.5546875,0.5
JMA-CPS3,November,0.6015625,0.609375,0.45703125,0.4765625,0.45703125,0.48828125,0.703125,0.5625,0.61328125,0.33203125,0.44140625,0.6328125,0.640625,0.5390625,0.484375
JMA-CPS3,December,0.52734375,0.4453125,0.47265625,0.484375,0.3984375,0.53515625,0.6875,0.65625,0.62109375,0.46875,0.60546875,0.42578125,0.6875,0.5,0.44921875
JMA-CPS3,January,0.453125,0.26953125,0.60546875,0.4296875,0.39453125,0.4609375,0.60546875,0.35546875,0.3828125,0.38671875,0.31640625,0.546875,0.59375,0.34765625,0.3671875
ECCC-GEM5-NEMO,November,0.5625,0.609375,0.50390625,0.5859375,0.7109375,0.578125,0.63671875,0.5234375,0.58203125,0.671875,0.3671875,0.8359375,0.48828125,0.76171875,0.484375
ECCC-GEM5-NEMO,December,0.50390625,0.62109375,0.75390625,0.51171875,0.6484375,0.734375,0.47265625,0.40234375,0.65625,0.25,0.52734375,0.34375,0.65625,0.41015625,0.5703125
ECCC-GEM5-NEMO,January,0.62109375,0.515625,0.53515625,0.70703125,0.5,0.5859375,0.64453125,0.53515625,0.44140625,0.55859375,0.51171875,0.671875,0.71484375,0.41015625,0.4765625
