,,NAO (box),NAO (box),NAO (box),NAO (eof),NAO (eof),NAO (eof),EA,EA,EA,EAWR,EAWR,EAWR,SCA,SCA,SCA
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,March,0.63671875,0.42578125,0.51953125,0.54296875,0.58203125,0.7421875,0.859375,0.46484375,0.73828125,0.546875,0.50390625,0.18359375,0.296875,0.46484375,0.55859375
ECMWF-SEAS5.1,April,0.59375,0.53515625,0.60546875,0.4921875,0.671875,0.76171875,0.80859375,0.41015625,0.73046875,0.171875,0.2578125,0.34765625,0.703125,0.7109375,0.62890625
ECMWF-SEAS5.1,May,0.734375,0.62890625,0.64453125,0.57421875,0.59765625,0.75,0.8671875,0.4140625,0.7890625,0.53125,0.3359375,0.44140625,0.42578125,0.3515625,0.41796875
Météo France-System 8,March,0.59375,0.55859375,0.52734375,0.609375,0.61328125,0.60546875,0.9140625,0.484375,0.765625,0.17578125,0.2734375,0.35546875,0.703125,0.33203125,0.48046875
Météo France-System 8,April,0.64453125,0.5703125,0.59765625,0.51953125,0.48046875,0.70703125,0.8671875,0.53515625,0.7109375,0.30078125,0.5234375,0.34765625,0.53515625,0.43359375,0.4296875
Météo France-System 8,May,0.62890625,0.65234375,0.65625,0.65625,0.6171875,0.671875,0.8671875,0.45703125,0.76171875,0.4140625,0.47265625,0.37109375,0.66015625,0.41015625,0.390625
Met Office-GloSea6.2,March,0.5234375,0.6015625,0.48828125,0.58203125,0.359375,0.69921875,0.78515625,0.3515625,0.7421875,0.39453125,0.3046875,0.44140625,0.5859375,0.6640625,0.578125
Met Office-GloSea6.2,April,0.71875,0.46484375,0.6796875,0.765625,0.484375,0.6796875,0.75390625,0.359375,0.66015625,0.5234375,0.2109375,0.31640625,0.578125,0.6328125,0.6015625
Met Office-GloSea6.2,May,0.7578125,0.54296875,0.6328125,0.75390625,0.625,0.89453125,0.72265625,0.6171875,0.69140625,0.4765625,0.38671875,0.55859375,0.8359375,0.4296875,0.33984375
DWD-GCFS2.1,March,0.47265625,0.39453125,0.52734375,0.484375,0.41015625,0.56640625,0.8203125,0.43359375,0.7421875,0.5078125,0.66796875,0.6015625,0.6015625,0.66015625,0.47265625
DWD-GCFS2.1,April,0.3984375,0.3046875,0.52734375,0.5859375,0.609375,0.76171875,0.77734375,0.4609375,0.70703125,0.578125,0.46875,0.4375,0.6328125,0.6953125,0.22265625
DWD-GCFS2.1,May,0.59765625,0.4375,0.640625,0.54296875,0.43359375,0.56640625,0.8515625,0.49609375,0.765625,0.55859375,0.37109375,0.49609375,0.28125,0.39453125,0.34765625
CMCC-SPSv3.5,March,0.57421875,0.59765625,0.6015625,0.6015625,0.59375,0.6875,0.828125,0.4609375,0.703125,0.296875,0.76953125,0.57421875,0.31640625,0.44140625,0.61328125
CMCC-SPSv3.5,April,0.61328125,0.44921875,0.5859375,0.734375,0.6328125,0.76953125,0.7421875,0.3984375,0.6796875,0.3515625,0.50390625,0.53515625,0.3125,0.59765625,0.25
CMCC-SPSv3.5,May,0.5078125,0.4140625,0.57421875,0.55078125,0.49609375,0.66796875,0.82421875,0.41796875,0.68359375,0.48046875,0.46484375,0.59765625,0.2421875,0.59765625,0.28125
NCEP-CFSv2,March,0.7109375,0.45703125,0.71875,0.609375,0.62890625,0.80859375,0.78125,0.3359375,0.6171875,0.47265625,0.609375,0.31640625,0.5703125,0.52734375,0.62890625
NCEP-CFSv2,April,0.67578125,0.5859375,0.60546875,0.65625,0.62890625,0.69921875,0.7265625,0.4140625,0.5390625,0.40625,0.6640625,0.29296875,0.47265625,0.5234375,0.35546875
NCEP-CFSv2,May,0.65625,0.8359375,0.5546875,0.66015625,0.4375,0.6875,0.73828125,0.49609375,0.6328125,0.62890625,0.4296875,0.61328125,0.78125,0.37890625,0.5078125
JMA-CPS3,March,0.41796875,0.51953125,0.45703125,0.64453125,0.39453125,0.5703125,0.7109375,0.39453125,0.78125,0.4375,0.25,0.4921875,0.375,0.484375,0.6015625
JMA-CPS3,April,0.44921875,0.47265625,0.5703125,0.59765625,0.53515625,0.59765625,0.7265625,0.5,0.55078125,0.54296875,0.41796875,0.28515625,0.37109375,0.57421875,0.59765625
JMA-CPS3,May,0.6875,0.54296875,0.625,0.68359375,0.640625,0.71484375,0.69921875,0.4375,0.6484375,0.44140625,0.60546875,0.51171875,0.73046875,0.65625,0.5390625
ECCC-GEM5-NEMO,March,0.59375,0.609375,0.35546875,0.49609375,0.28125,0.48828125,0.76171875,0.546875,0.62109375,0.359375,0.57421875,0.3828125,0.48828125,0.5625,0.5078125
ECCC-GEM5-NEMO,April,0.57421875,0.3671875,0.59375,0.53125,0.5390625,0.73828125,0.75,0.2578125,0.71875,0.4921875,0.72265625,0.37890625,0.4609375,0.28515625,0.43359375
ECCC-GEM5-NEMO,May,0.57421875,0.3984375,0.52734375,0.72265625,0.83984375,0.75,0.7109375,0.23828125,0.63671875,0.5859375,0.44921875,0.4296875,0.5,0.40625,0.58984375
