,,NAO (box),NAO (box),NAO (box),NAO (eof),NAO (eof),NAO (eof),EA,EA,EA,EAWR,EAWR,EAWR,SCA,SCA,SCA
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,July,0.5703125,0.40625,0.203125,0.640625,0.62109375,0.5625,0.58984375,0.26171875,0.625,0.3359375,0.3671875,0.30078125,0.375,0.46484375,0.5078125
ECMWF-SEAS5.1,August,0.44921875,0.51171875,0.26171875,0.35546875,0.44921875,0.34765625,0.53515625,0.60546875,0.5859375,0.5234375,0.4609375,0.453125,0.48046875,0.671875,0.6015625
ECMWF-SEAS5.1,September,0.48046875,0.62109375,0.359375,0.421875,0.6484375,0.50390625,0.640625,0.51171875,0.984375,0.50390625,0.43359375,0.4765625,0.5390625,0.78515625,0.58984375
Météo France-System 8,July,0.37890625,0.33203125,0.328125,0.42578125,0.2109375,0.17578125,0.6015625,0.6484375,0.43359375,0.5625,0.5,0.49609375,0.59375,0.55859375,0.6640625
Météo France-System 8,August,0.578125,0.3359375,0.58984375,0.61328125,0.515625,0.59375,0.46484375,0.6015625,0.5859375,0.3125,0.35546875,0.5625,0.78125,0.69921875,0.75
Météo France-System 8,September,0.53515625,0.48046875,0.609375,0.58203125,0.47265625,0.45703125,0.61328125,0.47265625,0.64453125,0.4921875,0.37890625,0.578125,0.640625,0.296875,0.5703125
Met Office-GloSea6.2,July,0.53515625,0.26953125,0.3359375,0.66796875,0.34765625,0.4140625,0.65234375,0.48828125,0.5078125,0.35546875,0.328125,0.52734375,0.5859375,0.5703125,0.44140625
Met Office-GloSea6.2,August,0.515625,0.3359375,0.4609375,0.5546875,0.62109375,0.63671875,0.578125,0.54296875,0.39453125,0.38671875,0.703125,0.52734375,0.5,0.609375,0.421875
Met Office-GloSea6.2,September,0.60546875,0.453125,0.421875,0.453125,0.4453125,0.40625,0.56640625,0.6796875,0.46875,0.37109375,0.51171875,0.27734375,0.5546875,0.54296875,0.7109375
DWD-GCFS2.1,July,0.75390625,0.5390625,0.6796875,0.6640625,0.30859375,0.5,0.5,0.37109375,0.34375,0.30078125,0.328125,0.44140625,0.5390625,0.40234375,0.54296875
DWD-GCFS2.1,August,0.88671875,0.421875,0.41015625,0.66796875,0.51171875,0.390625,0.69140625,0.42578125,0.49609375,0.4609375,0.53125,0.3359375,0.41796875,0.4296875,0.3984375
DWD-GCFS2.1,September,0.6796875,0.7890625,0.63671875,0.5703125,0.5,0.4921875,0.6953125,0.578125,0.7265625,0.32421875,0.51171875,0.1796875,0.625,0.37890625,0.484375
CMCC-SPSv3.5,July,0.58203125,0.30859375,0.5234375,0.62109375,0.3984375,0.47265625,0.62890625,0.3984375,0.55078125,0.4765625,0.359375,0.5,0.39453125,0.609375,0.5546875
CMCC-SPSv3.5,August,0.55078125,0.546875,0.53515625,0.4765625,0.44921875,0.53515625,0.484375,0.39453125,0.55859375,0.44140625,0.47265625,0.578125,0.296875,0.28515625,0.5234375
CMCC-SPSv3.5,September,0.4765625,0.44921875,0.4140625,0.3828125,0.453125,0.5859375,0.69140625,0.5,0.546875,0.51953125,0.46875,0.45703125,0.65234375,0.60546875,0.47265625
NCEP-CFSv2,July,0.625,0.52734375,0.4375,0.4375,0.51953125,0.47265625,0.5625,0.421875,0.71875,0.56640625,0.6484375,0.703125,0.54296875,0.44921875,0.53515625
NCEP-CFSv2,August,0.578125,0.53515625,0.5,0.46875,0.546875,0.42578125,0.609375,0.42578125,0.5703125,0.5859375,0.5546875,0.7890625,0.6640625,0.55859375,0.5
NCEP-CFSv2,September,0.5,0.578125,0.453125,0.48046875,0.46875,0.5078125,0.4609375,0.40234375,0.8125,0.50390625,0.43359375,0.41015625,0.46484375,0.390625,0.62109375
JMA-CPS3,July,0.40625,0.4140625,0.42578125,0.5859375,0.640625,0.53125,0.64453125,0.53515625,0.62109375,0.328125,0.7109375,0.515625,0.65625,0.47265625,0.5703125
JMA-CPS3,August,0.546875,0.4609375,0.625,0.63671875,0.265625,0.53125,0.55078125,0.421875,0.4765625,0.46484375,0.7578125,0.4375,0.3203125,0.69921875,0.45703125
JMA-CPS3,September,0.37890625,0.5859375,0.40234375,0.43359375,0.578125,0.5078125,0.53515625,0.61328125,0.69140625,0.5859375,0.47265625,0.51171875,0.5546875,0.41015625,0.46875
ECCC-GEM5-NEMO,July,0.4921875,0.578125,0.203125,0.48046875,0.66796875,0.29296875,0.609375,0.41796875,0.6953125,0.3359375,0.5078125,0.58984375,0.609375,0.44140625,0.4296875
ECCC-GEM5-NEMO,August,0.63671875,0.58984375,0.48828125,0.58203125,0.3671875,0.2734375,0.4375,0.46484375,0.703125,0.453125,0.46875,0.328125,0.55859375,0.3515625,0.47265625
ECCC-GEM5-NEMO,September,0.48046875,0.53125,0.30078125,0.4609375,0.68359375,0.484375,0.66015625,0.59375,0.49609375,0.4609375,0.5234375,0.23828125,0.5625,0.63671875,0.54296875
