,,NAO (box),NAO (box),NAO (box),NAO (eof),NAO (eof),NAO (eof),EA,EA,EA,EAWR,EAWR,EAWR,SCA,SCA,SCA
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
ECMWF-SEAS5.1,June,0.55078125,0.34375,0.5546875,0.69921875,0.56640625,0.76171875,0.51953125,0.46484375,0.44921875,0.6796875,0.6953125,0.4453125,0.51953125,0.625,0.703125
ECMWF-SEAS5.1,July,0.62890625,0.58984375,0.60546875,0.4375,0.55078125,0.671875,0.69140625,0.453125,0.36328125,0.56640625,0.48828125,0.484375,0.50390625,0.65625,0.70703125
ECMWF-SEAS5.1,August,0.640625,0.30859375,0.5078125,0.4609375,0.62109375,0.6796875,0.45703125,0.48828125,0.5078125,0.32421875,0.4296875,0.50390625,0.65625,0.30859375,0.59375
Météo France-System 8,June,0.515625,0.59375,0.421875,0.62890625,0.46875,0.67578125,0.32421875,0.63671875,0.47265625,0.5703125,0.50390625,0.4140625,0.6640625,0.49609375,0.78125
Météo France-System 8,July,0.5,0.27734375,0.34765625,0.73046875,0.78515625,0.765625,0.3984375,0.37890625,0.4140625,0.4140625,0.30078125,0.2421875,0.53515625,0.5078125,0.63671875
Météo France-System 8,August,0.57421875,0.71875,0.5703125,0.546875,0.4765625,0.67578125,0.33203125,0.515625,0.48046875,0.28515625,0.3203125,0.6484375,0.77734375,0.43359375,0.703125
Met Office-GloSea6.2,June,0.49609375,0.64453125,0.3671875,0.73828125,0.51953125,0.71875,0.375,0.6015625,0.38671875,0.53515625,0.5859375,0.33203125,0.5625,0.46875,0.67578125
Met Office-GloSea6.2,July,0.5,0.44140625,0.52734375,0.50390625,0.3515625,0.6328125,0.484375,0.625,0.4609375,0.32421875,0.54296875,0.4375,0.56640625,0.58203125,0.7109375
Met Office-GloSea6.2,August,0.4765625,0.49609375,0.609375,0.5859375,0.6953125,0.8125,0.4453125,0.515625,0.48046875,0.41796875,0.55078125,0.7421875,0.65625,0.515625,0.609375
DWD-GCFS2.1,June,0.48046875,0.66796875,0.453125,0.37109375,0.46875,0.48828125,0.48046875,0.59375,0.3984375,0.56640625,0.58203125,0.5234375,0.71484375,0.5078125,0.609375
DWD-GCFS2.1,July,0.8203125,0.421875,0.5859375,0.25390625,0.5546875,0.67578125,0.53125,0.34375,0.390625,0.6484375,0.546875,0.4765625,0.59375,0.5234375,0.71484375
DWD-GCFS2.1,August,0.59375,0.41015625,0.5234375,0.3671875,0.38671875,0.625,0.64453125,0.73046875,0.48046875,0.30078125,0.52734375,0.28515625,0.69140625,0.16796875,0.55859375
CMCC-SPSv3.5,June,0.66015625,0.82421875,0.53515625,0.69921875,0.58984375,0.73828125,0.51171875,0.52734375,0.46484375,0.40234375,0.3125,0.39453125,0.515625,0.6953125,0.71484375
CMCC-SPSv3.5,July,0.671875,0.49609375,0.5546875,0.44140625,0.3359375,0.671875,0.45703125,0.44921875,0.5,0.6328125,0.48046875,0.4375,0.46484375,0.3671875,0.578125
CMCC-SPSv3.5,August,0.6875,0.55078125,0.55859375,0.54296875,0.66796875,0.76171875,0.44921875,0.6171875,0.37890625,0.42578125,0.40234375,0.42578125,0.6171875,0.5,0.44921875
NCEP-CFSv2,June,0.55859375,0.6171875,0.703125,0.55859375,0.63671875,0.5625,0.41796875,0.53515625,0.26171875,0.578125,0.46875,0.48828125,0.63671875,0.8203125,0.80859375
NCEP-CFSv2,July,0.59765625,0.6640625,0.60546875,0.65234375,0.42578125,0.73046875,0.48046875,0.78125,0.4921875,0.6953125,0.453125,0.47265625,0.63671875,0.359375,0.70703125
NCEP-CFSv2,August,0.5859375,0.4140625,0.3984375,0.5390625,0.421875,0.6328125,0.6015625,0.48046875,0.484375,0.51171875,0.37109375,0.58203125,0.859375,0.6875,0.625
JMA-CPS3,June,0.58203125,0.33984375,0.53515625,0.69140625,0.6171875,0.6640625,0.63671875,0.33984375,0.5234375,0.5859375,0.5078125,0.40625,0.5234375,0.49609375,0.59765625
JMA-CPS3,July,0.640625,0.5625,0.44921875,0.51953125,0.30859375,0.60546875,0.625,0.65234375,0.47265625,0.4140625,0.25,0.28515625,0.6484375,0.6171875,0.8125
JMA-CPS3,August,0.6171875,0.359375,0.64453125,0.640625,0.609375,0.77734375,0.41796875,0.359375,0.5625,0.37890625,0.3125,0.40625,0.6875,0.421875,0.546875
ECCC-GEM5-NEMO,June,0.56640625,0.59765625,0.55859375,0.58203125,0.453125,0.69921875,0.59375,0.625,0.63671875,0.734375,0.49609375,0.5078125,0.5078125,0.578125,0.86328125
ECCC-GEM5-NEMO,July,0.56640625,0.4140625,0.55859375,0.49609375,0.4375,0.546875,0.4921875,0.5625,0.66796875,0.5546875,0.734375,0.44921875,0.52734375,0.49609375,0.6875
ECCC-GEM5-NEMO,August,0.59765625,0.69921875,0.5078125,0.34765625,0.27734375,0.55859375,0.42578125,0.45703125,0.40234375,0.4140625,0.421875,0.61328125,0.72265625,0.625,0.7109375
