,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.12440000000000007,0.06430000000000002,0.0475000000000001,0.08350000000000013,0.09939999999999993,-0.004699999999999704,0.20110000000000006,0.02859999999999996,-0.037699999999999845,-0.12739999999999996,-0.034399999999999986,0.05800000000000005
ECMWF-SEAS5.1,lead2,0.0031000000000001027,-0.05269999999999997,0.07780000000000009,0.04150000000000009,0.08410000000000006,0.03730000000000022,0.20860000000000012,-0.08509999999999995,0.02740000000000009,-0.15559999999999974,-0.03589999999999982,0.0022000000000000908
ECMWF-SEAS5.1,lead1,-0.03620000000000001,0.0633999999999999,0.006700000000000039,0.007300000000000084,0.1222000000000002,0.1201000000000001,0.1753,0.022600000000000176,-0.017599999999999838,-0.11509999999999998,-0.05089999999999972,0.053200000000000025
Météo France-System 8,lead3,0.03490000000000004,0.04870000000000008,0.037000000000000255,0.06369999999999987,0.03639999999999988,-0.016699999999999937,0.028900000000000148,-0.18320000000000003,-0.09289999999999998,-0.13249999999999984,-0.01849999999999996,-0.020299999999999985
Météo France-System 8,lead2,0.02740000000000009,0.008499999999999952,-0.10010000000000008,0.12639999999999996,0.10240000000000005,0.03880000000000006,0.07600000000000007,-0.2027000000000001,-0.14000000000000012,0.019600000000000173,-0.10129999999999995,0.05469999999999986
Météo France-System 8,lead1,-0.07850000000000001,-0.08989999999999987,0.13659999999999983,-0.07699999999999974,0.10060000000000002,0.07750000000000012,0.22089999999999987,-0.11929999999999996,-0.008000000000000007,-0.0028999999999999027,-0.13309999999999977,0.006700000000000039
Met Office-GloSea6.2,lead3,-0.15848214285714302,-0.04823022959183665,0.02208227040816335,0.12087585034013626,0.10148278061224503,-0.03029336734693855,-0.015704719387754862,-0.078125,-0.21851084183673453,-0.1187818877551019,-0.056361607142856984,0.0340401785714286
Met Office-GloSea6.2,lead2,-0.034837372448979664,-0.031249999999999778,-0.0033163265306124234,0.10913584183673486,-0.04727359693877542,0.10028698979591855,0.06369579081632648,-0.13647959183673475,-0.0903220663265305,-0.0881696428571428,-0.07334183673469363,-0.05564413265306101
Met Office-GloSea6.2,lead1,-0.01618303571428581,-0.17738095238095286,0.10722257653061229,0.1000478316326533,0.024713010204081676,0.09072066326530615,0.10602678571428581,-0.13695790816326525,-0.03411989795918369,-0.0534917091836733,-0.04823022959183643,0.13424744897959195
DWD-GCFS2.1,lead3,-0.001875000000000071,-0.006458333333333233,-0.08895833333333325,0.009583333333333277,0.017916666666666803,-0.07833333333333337,0.19854166666666662,-0.19250000000000034,-0.06395833333333312,0.08749999999999991,0.03083333333333349,-0.014166666666666439
DWD-GCFS2.1,lead2,0.02708333333333357,-0.06354166666666661,0.0352083333333334,0.12541666666666673,0.051458333333333384,-0.08291666666666675,0.10666666666666669,-0.08833333333333337,0.09895833333333337,0.09458333333333346,0.024375000000000036,-0.04291666666666649
DWD-GCFS2.1,lead1,0.02270833333333344,-0.06374999999999997,0.07291666666666674,0.0285416666666668,0.09270833333333328,0.041458333333333264,0.1847916666666667,0.11583333333333345,0.0122916666666667,0.06291666666666684,-0.024791666666666545,0.21520833333333333
CMCC-SPSv3.5,lead3,-0.000898437499999849,-0.13765625000000026,0.03519531249999985,0.022890624999999942,0.06707031250000006,0.008828124999999853,0.1417187499999999,-0.06863281249999975,0.03238281250000019,-0.0107421875,0.009179687499999978,0.008359375000000058
