,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.09830000000000094,0.004599999999999715,-0.05840000000000045,0.04299999999999993,-0.0004999999999999449,0.0462999999999999,0.2299,0.22899999999999987,0.1363000000000002,-0.14360000000000017,-0.10130000000000017,0.030399999999999983
ECMWF-SEAS5.1,lead2,0.0246999999999995,-0.11840000000000028,0.0039999999999997815,0.07479999999999976,-0.06590000000000029,0.05410000000000004,0.23709999999999987,0.23169999999999968,-0.010400000000000187,-0.11480000000000024,-0.034700000000000175,0.0825999999999999
ECMWF-SEAS5.1,lead1,-0.05570000000000053,-0.07520000000000016,0.0984999999999997,-0.008300000000000196,0.021999999999999797,0.04810000000000003,0.11080000000000001,0.16899999999999982,0.021100000000000008,-0.017300000000000093,-0.040400000000000214,-0.0004999999999999449
Météo France-System 8,lead3,0.05049999999999988,-0.05300000000000016,0.01629999999999987,-0.007099999999999884,-0.002000000000000224,0.038799999999999946,0.2725000000000003,0.21429999999999982,0.10809999999999986,-0.07040000000000002,-0.09500000000000042,-0.058700000000000196
Météo France-System 8,lead2,0.038499999999999646,-0.11450000000000027,-0.1514000000000002,0.014499999999999957,0.01509999999999978,0.04899999999999982,0.2346999999999999,0.1530999999999998,0.1876,0.015099999999999891,-0.11299999999999999,0.022299999999999875
Météo France-System 8,lead1,-0.00800000000000023,-0.10670000000000024,0.11769999999999992,0.03190000000000004,0.04449999999999976,0.04960000000000009,0.1522,0.11739999999999973,0.03670000000000029,0.03819999999999968,-0.04820000000000002,0.05469999999999997
Met Office-GloSea6.2,lead3,-0.10084502551020447,-0.11112882653061251,-0.07453762755102056,0.021130952380952084,0.05699936224489788,0.035235969387755195,0.21556122448979587,0.10291772959183654,0.12444196428571408,0.01777742346938771,-0.023596938775510168,0.036431760204081454
Met Office-GloSea6.2,lead2,0.026865433673469052,-0.05612244897959173,-0.03680909863945603,0.0445631377551019,0.005102040816326592,0.10387436224489788,0.1713169642857144,0.1249202806122447,0.0017538265306121792,0.02016900510204056,0.020408163265306256,0.05173788265306134
Met Office-GloSea6.2,lead1,-0.03411989795918435,-0.18887117346938798,0.017059948979591733,0.0015146683673469274,-0.03005420918367374,0.21340880102040793,0.29783163265306123,0.13926977040816313,0.08258928571428592,-0.12763073979591866,-0.09749681122449005,0.13137755102040816
DWD-GCFS2.1,lead3,0.04437499999999961,-0.07500000000000018,-0.028750000000000053,0.06541666666666668,0.008749999999999925,0.0068750000000000755,0.20604166666666646,0.23458333333333314,-0.08458333333333301,-0.19249999999999967,0.00937499999999969,0.00562499999999988
DWD-GCFS2.1,lead2,0.13291666666666635,-0.18354166666666694,-0.0870833333333334,0.0647916666666668,0.04624999999999979,0.08770833333333339,0.23291666666666644,0.14687499999999987,-0.09562500000000007,0.06812499999999988,-0.048125000000000195,-0.004999999999999893
DWD-GCFS2.1,lead1,-0.0616666666666672,-0.0714583333333334,0.06604166666666655,0.08041666666666647,0.023958333333333193,-0.03375000000000017,0.2141666666666665,0.17833333333333312,-0.04166666666666674,-0.04604166666666676,-0.029166666666667007,0.07937499999999997
CMCC-SPSv3.5,lead3,0.004257812499999902,-0.25355468750000054,-0.15324218750000007,0.15378906250000002,0.13738281249999984,0.054648437499999925,0.14640625000000007,0.1718359374999997,0.10164062500000015,-0.047070312500000044,-0.08480468750000036,-0.020468750000000036
CMCC-SPSv3.5,lead2,-0.1323828125000006,-0.24113281250000052,-0.13683593750000012,0.10855468749999986,0.11499999999999988,0.15167968749999994,0.20089843749999992,0.20863281249999965,-0.009453125000000284,0.012226562499999871,-0.2160546875,0.11886718749999958
CMCC-SPSv3.5,lead1,-0.07167968750000053,-0.19484374999999998,-0.06804687499999984,0.01164062499999996,0.17488281249999993,0.021835937500000124,0.23429687499999996,0.16468749999999976,0.05207031249999994,-0.07824218750000034,-0.05222656250000024,0.062382812499999885
NCEP-CFSv2,lead3,-0.0013020833333337034,-0.29850260416666674,-0.15494791666666674,0.05389030612244872,-0.0035807291666667407,0.0807812499999998,0.12205038265306134,0.3369140625,0.005533854166666741,0.015950520833333037,-0.11979166666666674,0.10481770833333337
