,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,May,0.02859999999999996,-0.056600000000000206,0.03459999999999985,0.012700000000000045,-0.018500000000000405
ECMWF-SEAS5.1,June,-0.08509999999999995,0.043299999999999894,-0.11750000000000016,0.06849999999999967,-0.07730000000000059
ECMWF-SEAS5.1,July,0.022600000000000176,0.06369999999999965,-0.17210000000000014,0.025599999999999734,0.0012999999999995238
Météo France-System 8,May,-0.18320000000000003,-0.11660000000000004,0.01929999999999965,0.06759999999999977,-0.07850000000000046
Météo France-System 8,June,-0.2027000000000001,0.04989999999999972,-0.029000000000000137,-0.011600000000000277,-0.02030000000000043
Météo France-System 8,July,-0.11929999999999996,-0.03080000000000016,-0.005899999999999794,0.03159999999999974,-0.041300000000000336
Met Office-GloSea6.2,May,-0.078125,-0.0793207908163267,-0.06305803571428581,0.18088329081632637,-0.11567283163265363
Met Office-GloSea6.2,June,-0.13647959183673475,-0.14843750000000044,-0.10634566326530615,0.04791135204081598,-0.10754145408163329
Met Office-GloSea6.2,July,-0.13695790816326525,-0.08649553571428603,-0.1333705357142856,0.11846301020408156,-0.09151785714285765
DWD-GCFS2.1,May,-0.19250000000000034,-0.09875000000000012,0.07979166666666637,0.14562499999999978,-0.15916666666666712
DWD-GCFS2.1,June,-0.08833333333333337,-0.06687500000000002,-0.06645833333333351,0.014791666666666425,-0.03458333333333363
DWD-GCFS2.1,July,0.11583333333333345,0.05166666666666664,-0.008958333333333401,0.04562500000000003,-0.012291666666667034
CMCC-SPSv3.5,May,-0.06863281249999975,-0.041210937500000266,0.02816406250000003,0.046210937499999605,0.07023437499999952
CMCC-SPSv3.5,June,-0.0638281249999999,-0.005820312500000258,0.06718750000000018,-0.025039062500000098,0.0012109374999997868
CMCC-SPSv3.5,July,-0.15792968750000003,0.08324218749999979,-0.06874999999999987,0.01433593749999984,0.004257812499999569
NCEP-CFSv2,May,-0.10123697916666674,-0.0703125,0.09570312500000011,0.14388020833333315,-0.046875000000000444
NCEP-CFSv2,June,-0.078125,-0.017903645833333703,0.03124999999999989,0.0013020833333333703,-0.043945312500000444
NCEP-CFSv2,July,-0.12825520833333304,0.009765624999999778,-0.060546875,0.18847656249999967,-0.11816406250000044
JMA-CPS3,May,-0.21500000000000008,-0.125,0.004375000000000018,-0.1943750000000004,-0.14000000000000057
JMA-CPS3,June,0.01562500000000011,-0.04437500000000005,-0.061249999999999805,0.05124999999999991,-0.18875000000000042
JMA-CPS3,July,-0.44374999999999987,-0.22062500000000052,-0.05750000000000011,-0.10062499999999996,-0.11000000000000054
ECCC-GEM5-NEMO,May,-0.1812499999999997,-0.0068750000000004086,-0.13624999999999998,-0.0068750000000001865,-0.1325000000000005
ECCC-GEM5-NEMO,June,0.025000000000000022,0.0006249999999998757,-0.14562499999999945,-0.15500000000000025,-0.0125000000000004
ECCC-GEM5-NEMO,July,-0.09125000000000005,0.09249999999999992,-0.29374999999999996,-0.053750000000000187,-0.1793750000000005
