,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,November,0.06430000000000002,0.07059999999999977,0.09639999999999982,-0.04280000000000039,-0.059599999999999875
ECMWF-SEAS5.1,December,-0.05269999999999997,-0.01429999999999998,0.1752999999999999,-0.07880000000000043,-0.11300000000000021
ECMWF-SEAS5.1,January,0.0633999999999999,0.0006999999999999229,-0.011600000000000277,-0.02360000000000051,0.008799999999999919
Météo France-System 8,November,0.04870000000000008,0.010599999999999832,-0.06320000000000037,-0.14300000000000024,-0.05450000000000044
Météo France-System 8,December,0.008499999999999952,-0.028400000000000203,-0.16700000000000004,-0.19610000000000039,0.027999999999999803
Météo France-System 8,January,-0.08989999999999987,-0.007100000000000106,0.05559999999999987,-0.14900000000000002,-0.14989999999999992
Met Office-GloSea6.2,November,-0.04823022959183665,-0.027184311224489832,-0.0597098214285714,-0.11878188775510234,-0.005660076530612068
Met Office-GloSea6.2,December,-0.031249999999999778,-0.005660076530612512,0.01395089285714246,-0.20774872448979687,0.010602678571428381
Met Office-GloSea6.2,January,-0.17738095238095286,-0.16369047619047628,-0.020184948979591777,-0.0094281462585033,0.00670705782312897
DWD-GCFS2.1,November,-0.006458333333333233,0.024791666666666545,-0.06104166666666688,-0.14833333333333387,-0.02666666666666706
DWD-GCFS2.1,December,-0.06354166666666661,-0.051666666666667194,0.013333333333333308,-0.12958333333333405,-0.0737500000000002
DWD-GCFS2.1,January,-0.06374999999999997,0.02833333333333332,0.09458333333333302,-0.08104166666666712,-0.11208333333333331
CMCC-SPSv3.5,November,-0.13765625000000026,-0.10261718749999993,-0.09804687500000031,-0.11855468750000053,-0.003476562500000391
CMCC-SPSv3.5,December,-0.13531249999999972,-0.1769140625000003,-0.0017187499999999911,-0.07859375000000024,-0.08292968750000007
CMCC-SPSv3.5,January,-0.154296875,-0.11785156250000006,0.0603906249999997,-0.08128906250000068,-0.05269531250000048
NCEP-CFSv2,November,-0.13460286458333326,-0.07845052083333348,-0.16471354166666674,-0.10286458333333415,-0.23079427083333348
NCEP-CFSv2,December,-0.03255208333333326,-0.02327473958333348,-0.07877604166666696,0.014160156249999445,-0.2547200520833337
NCEP-CFSv2,January,-0.09295280612244872,0.019451530612244694,0.08163265306122436,0.00845025510204056,-0.18168048469387754
JMA-CPS3,November,-0.06312499999999988,-0.1418750000000002,0.06437499999999996,-0.19625000000000048,0.03437499999999993
JMA-CPS3,December,-0.12124999999999986,-0.06687500000000024,0.0774999999999999,-0.23937500000000012,-0.0050000000000001155
JMA-CPS3,January,-0.11375000000000002,-0.21875000000000022,-0.12312500000000037,-0.22812500000000036,-0.19062500000000027
ECCC-GEM5-NEMO,November,-0.0668749999999998,-0.00875000000000048,0.017499999999999738,0.18437499999999962,-0.1887500000000002
ECCC-GEM5-NEMO,December,0.07562500000000005,0.05875000000000008,-0.050000000000000266,-0.3668750000000005,-0.014375000000000249
ECCC-GEM5-NEMO,January,-0.04812499999999997,0.04749999999999999,-0.09875000000000012,0.02687499999999976,-0.008750000000000036
