,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,October,-0.12440000000000007,-0.0416000000000003,0.05049999999999932,0.1039000000000001,0.13840000000000008
ECMWF-SEAS5.1,November,0.0031000000000001027,0.009099999999999775,0.01719999999999977,-0.013100000000000112,0.05769999999999986
ECMWF-SEAS5.1,December,-0.03620000000000001,-0.006800000000000583,0.1287999999999997,-0.05030000000000023,-0.01970000000000005
Météo France-System 8,October,0.03490000000000004,0.09189999999999954,-0.056000000000000716,-0.02660000000000018,-0.05540000000000034
Météo France-System 8,November,0.02740000000000009,0.12609999999999943,-0.08390000000000031,-0.03350000000000031,0.02739999999999998
Météo France-System 8,December,-0.07850000000000001,0.02049999999999952,-0.01910000000000056,-0.038000000000000256,0.031300000000000106
Met Office-GloSea6.2,October,-0.15848214285714302,-0.014987244897959773,-0.10275829081632715,0.09980867346938771,0.19236288265306112
Met Office-GloSea6.2,November,-0.034837372448979664,0.04815051020408123,-0.03603316326530637,-0.05253507653061251,0.15768494897959195
Met Office-GloSea6.2,December,-0.01618303571428581,0.08091517857142816,-0.16350446428571486,-0.04488201530612246,0.00701530612244905
DWD-GCFS2.1,October,-0.001875000000000071,0.0639583333333329,0.048749999999999405,0.02416666666666667,0.0245833333333334
DWD-GCFS2.1,November,0.02708333333333357,0.15333333333333288,-0.003750000000000364,0.08937499999999987,0.11562499999999998
DWD-GCFS2.1,December,0.02270833333333344,0.019166666666666332,0.0749999999999994,-0.022083333333333233,0.03416666666666668
CMCC-SPSv3.5,October,-0.000898437499999849,0.05406249999999968,-0.07085937500000017,-0.009453125000000062,0.17582031249999996
CMCC-SPSv3.5,November,-0.11527343749999996,-0.02925781250000048,-0.23000000000000065,-0.18078125000000012,0.07281250000000006
CMCC-SPSv3.5,December,-0.07144531249999986,0.02535156249999959,0.023593749999999414,0.023945312499999982,0.11746093749999986
NCEP-CFSv2,October,-0.030273437499999778,0.03808593749999989,-0.20865885416666763,-0.15625000000000022,0.09309895833333337
NCEP-CFSv2,November,-0.13671875,-0.0651041666666674,-0.29459635416666696,0.06770833333333337,-0.02180989583333326
NCEP-CFSv2,December,0.01236979166666663,0.08919270833333293,-0.11816406250000044,-0.005859374999999778,0.01871744791666663
JMA-CPS3,October,-0.0068749999999999645,0.04374999999999962,0.019374999999999698,0.03249999999999997,-0.16812500000000008
JMA-CPS3,November,-0.16625000000000023,-0.07812500000000067,0.04374999999999951,0.028750000000000164,0.08687500000000015
JMA-CPS3,December,-0.016249999999999876,-0.01812500000000039,-0.05562500000000048,-0.06875000000000009,0.17874999999999985
ECCC-GEM5-NEMO,October,-0.15312500000000018,0.04187499999999966,-0.04812500000000042,-0.046250000000000124,0.17500000000000004
ECCC-GEM5-NEMO,November,-0.1081249999999998,0.04749999999999943,-0.08750000000000058,0.0006250000000000977,-0.07437500000000008
ECCC-GEM5-NEMO,December,-0.03499999999999992,-0.0012500000000001954,0.039999999999999813,-0.12874999999999992,0.1449999999999998
