,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,February,0.09939999999999993,0.0009999999999998899,0.012399999999999634,0.2539000000000001,-0.18289999999999984
ECMWF-SEAS5.1,March,0.08410000000000006,-0.05630000000000002,-0.06740000000000013,0.20409999999999984,-0.04459999999999997
ECMWF-SEAS5.1,April,0.1222000000000002,-0.017599999999999838,-0.10820000000000007,0.1449999999999998,-0.12859999999999983
Météo France-System 8,February,0.03639999999999988,-0.09410000000000007,0.04149999999999998,0.3157,-0.1706000000000003
Météo France-System 8,March,0.10240000000000005,0.005499999999999949,0.033399999999999985,0.31989999999999985,-0.07850000000000001
Météo France-System 8,April,0.10060000000000002,-0.027800000000000047,0.02199999999999991,0.32709999999999984,-0.16310000000000047
Met Office-GloSea6.2,February,0.10148278061224503,0.037627551020408156,-0.10873724489795955,0.19666772959183665,-0.04320790816326525
Met Office-GloSea6.2,March,-0.04727359693877542,-0.0073341836734692745,-0.015943877551020114,0.1691645408163266,-0.13624043367346972
Met Office-GloSea6.2,April,0.024713010204081676,-0.08171237244897944,0.012515943877550728,0.18566645408163274,-0.06066645408163285
DWD-GCFS2.1,February,0.017916666666666803,0.020208333333333384,0.11395833333333316,0.16458333333333308,-0.09687500000000004
DWD-GCFS2.1,March,0.051458333333333384,0.01416666666666655,-0.10958333333333359,0.1606249999999998,-0.14375000000000004
DWD-GCFS2.1,April,0.09270833333333328,-0.0014583333333335613,-0.003750000000000142,0.1991666666666665,-0.15166666666666706
CMCC-SPSv3.5,February,0.06707031250000006,0.09753906249999988,0.050078125000000084,0.25960937500000003,-0.12781250000000033
CMCC-SPSv3.5,March,0.12074218749999999,0.059687500000000226,0.0077734375000001465,0.29605468749999997,0.010703125000000036
CMCC-SPSv3.5,April,0.18121093750000017,0.12859374999999995,0.04281250000000003,0.26124999999999987,-0.06406250000000013
NCEP-CFSv2,February,0.03938802083333337,-0.1416015625,0.01529947916666674,0.2568359375000001,-0.13671875000000022
NCEP-CFSv2,March,0.013750000000000151,-0.125,-0.24874999999999958,0.27484374999999994,-0.1334375000000001
NCEP-CFSv2,April,0.07110969387755106,-0.18502869897959173,0.07995854591836726,0.21962691326530615,-0.13480548469387754
JMA-CPS3,February,-0.06312499999999988,-0.21499999999999986,-0.21687500000000015,0.1000000000000002,-0.17187500000000022
JMA-CPS3,March,-0.06499999999999995,-0.05187500000000034,-0.11937500000000001,0.1356250000000001,0.0381250000000003
JMA-CPS3,April,0.01749999999999996,-0.11750000000000016,-0.29000000000000004,0.1974999999999999,-0.25812499999999994
ECCC-GEM5-NEMO,February,0.12437500000000012,0.10937499999999978,0.011874999999999858,0.021250000000000213,0.0568749999999999
ECCC-GEM5-NEMO,March,-0.14187499999999975,-0.33125000000000004,-0.05562500000000026,0.041874999999999885,-0.30499999999999994
ECCC-GEM5-NEMO,April,0.09437499999999999,-0.02187500000000009,-0.1868749999999999,0.11874999999999991,-0.1887500000000002
