,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,August,-0.034399999999999986,-0.06200000000000028,-0.008299999999999974,-0.04760000000000031,-0.11210000000000031
ECMWF-SEAS5.1,September,-0.03589999999999982,-0.04190000000000005,0.1800999999999997,-0.047000000000000375,-0.048200000000000465
ECMWF-SEAS5.1,October,-0.05089999999999972,-0.0622999999999998,0.16749999999999998,-0.03410000000000024,-0.10519999999999996
Météo France-System 8,August,-0.01849999999999996,-0.11929999999999974,-0.07220000000000004,0.037599999999999856,-0.053300000000000125
Météo France-System 8,September,-0.10129999999999995,-0.11629999999999985,0.14409999999999978,-0.054800000000000404,-0.0004999999999999449
Météo France-System 8,October,-0.13309999999999977,-0.07430000000000003,0.016899999999999693,-0.21980000000000044,-0.07940000000000014
Met Office-GloSea6.2,August,-0.056361607142856984,-0.043447066326530726,-0.08506058673469408,-0.09510522959183687,-0.017857142857143016
Met Office-GloSea6.2,September,-0.07334183673469363,-0.003029336734694077,-0.03077168367346972,-0.0381855867346943,-0.0018335459183675962
Met Office-GloSea6.2,October,-0.04823022959183643,-0.07334183673469408,0.12611607142857129,-0.09845344387755106,0.012037627551020447
DWD-GCFS2.1,August,0.03083333333333349,0.01291666666666691,0.03624999999999967,0.0556249999999997,-0.1618750000000002
DWD-GCFS2.1,September,0.024375000000000036,0.00604166666666639,0.022916666666666696,-0.13145833333333368,-0.06416666666666693
DWD-GCFS2.1,October,-0.024791666666666545,-0.02041666666666675,0.057499999999999885,-0.13437500000000036,-0.08020833333333344
CMCC-SPSv3.5,August,0.009179687499999978,-0.09230468749999998,0.03203125000000007,-0.03417968750000022,-0.020000000000000462
CMCC-SPSv3.5,September,-0.11562499999999987,-0.20199218749999992,0.04468749999999988,0.07058593749999964,0.011523437499999734
CMCC-SPSv3.5,October,-0.022929687499999796,-0.04460937500000006,0.0811328124999997,-0.02562500000000023,-0.04988281250000015
NCEP-CFSv2,August,-0.05533854166666652,-0.13476562499999978,0.0022786458333330373,0.07063802083333315,-0.01920572916666674
NCEP-CFSv2,September,0.11230468750000011,0.07552083333333337,0.11263020833333304,0.01302083333333326,-0.03776041666666674
NCEP-CFSv2,October,-0.01920572916666674,-0.01334635416666674,0.18880208333333326,0.09537760416666652,0.05664062499999989
JMA-CPS3,August,-0.17374999999999985,-0.07437500000000008,0.1449999999999999,-0.09125000000000028,-0.130625
JMA-CPS3,September,-0.15687499999999988,-0.07250000000000023,0.07187499999999958,-0.10062500000000019,-0.010625000000000107
JMA-CPS3,October,-0.11749999999999994,-0.14187499999999997,-0.0593750000000004,-0.16062500000000002,-0.05562500000000026
ECCC-GEM5-NEMO,August,-0.008749999999999813,-0.04062500000000013,0.03812499999999974,-0.10062500000000019,0.03062499999999979
ECCC-GEM5-NEMO,September,-0.16999999999999993,-0.2037500000000001,-0.00875000000000048,-0.05000000000000049,-0.014375000000000027
ECCC-GEM5-NEMO,October,-0.014375000000000027,-0.03312500000000029,0.0024999999999999467,0.03249999999999986,-0.050000000000000266
