,,NAO (box),NAO (eof),EA,EAWR,SCA
ECMWF-SEAS5.1,July,-0.12739999999999996,0.03369999999999951,0.0015999999999997128,-0.2006000000000001,-0.07310000000000039
ECMWF-SEAS5.1,August,-0.15559999999999974,-0.1424000000000003,-0.0047000000000003705,-0.1625000000000003,-0.037100000000000355
ECMWF-SEAS5.1,September,-0.11509999999999998,-0.02030000000000043,0.20289999999999986,-0.05810000000000026,9.999999999987796e-05
Météo France-System 8,July,-0.13249999999999984,-0.17450000000000054,-0.04670000000000041,-0.09890000000000021,0.04599999999999993
Météo France-System 8,August,0.019600000000000173,0.031300000000000106,-0.0488000000000004,-0.11480000000000024,0.14139999999999986
Météo France-System 8,September,-0.0028999999999999027,-0.018800000000000372,0.0489999999999996,-0.09740000000000015,0.019599999999999396
Met Office-GloSea6.2,July,-0.1187818877551019,-0.05755739795918413,-0.007095025510204023,-0.10012755102040849,-0.025271045918367596
Met Office-GloSea6.2,August,-0.0881696428571428,-0.01809630102040849,-0.08577806122449005,-0.13576211734693877,-0.057318239795918435
Met Office-GloSea6.2,September,-0.0534917091836733,-0.0943877551020409,-0.08697385204081653,-0.19435586734693922,0.0804368622448981
DWD-GCFS2.1,July,0.08749999999999991,0.0016666666666664831,-0.08520833333333355,-0.2116666666666671,-0.03187500000000054
DWD-GCFS2.1,August,0.09458333333333346,0.009999999999999787,0.021041666666666625,-0.09145833333333342,-0.13354166666666667
DWD-GCFS2.1,September,0.06291666666666684,-0.010000000000000231,0.1091666666666663,-0.2810416666666671,-0.021041666666666847
CMCC-SPSv3.5,July,-0.0107421875,0.008945312499999858,0.034726562499999836,-0.038867187499999956,-0.024921875000000204
CMCC-SPSv3.5,August,-0.013085937499999867,-0.020351562500000364,-0.04449218750000039,-0.05972656250000008,-0.05714843749999998
CMCC-SPSv3.5,September,-0.10156249999999978,-0.06453125000000015,0.059804687499999565,-0.06863281249999997,0.04082031250000029
NCEP-CFSv2,July,-0.02278645833333326,-0.09472656250000022,0.025716145833333037,0.07161458333333315,-0.0481770833333337
NCEP-CFSv2,August,-0.04036458333333326,-0.1038411458333337,0.01009114583333326,0.06998697916666663,0.04752604166666652
NCEP-CFSv2,September,-0.10807291666666652,-0.0751953125,0.04752604166666674,-0.11848958333333326,0.012695312499999889
JMA-CPS3,July,-0.1775,-0.044375000000000275,0.021250000000000102,-0.224375,0.01937499999999981
JMA-CPS3,August,-0.004999999999999671,-0.010625000000000329,-0.13062499999999977,-0.14749999999999996,-0.2506250000000001
JMA-CPS3,September,-0.18500000000000005,-0.1268750000000003,0.013749999999999707,-0.046250000000000346,-0.1681250000000003
ECCC-GEM5-NEMO,July,-0.2506249999999999,-0.16999999999999993,0.02312499999999984,-0.12312500000000037,-0.09687499999999982
ECCC-GEM5-NEMO,August,-0.05187499999999989,-0.22062499999999985,-0.06687500000000002,-0.1362500000000002,-0.14749999999999996
ECCC-GEM5-NEMO,September,-0.2337499999999999,-0.14000000000000035,-0.03500000000000014,-0.29000000000000026,-0.10812500000000025
